block_number,tx_hash,log_index,conditionId,oracle,questionId,outcomeSlotCount,payoutNumerators
74990008,0x5682d77e96116fc98d00a0b446e4863262450e51bcd4675a15aab1217780e717,34,0xab2dbffb826d187f977be675d954a12138c2a4153f47b485a8ebc30c12dc0dca,0x157ce2d672854c848c9b79c49a8cc6cc89176a49,0xfec67d4889a48a9dfa16a7b49629f52fc0675fff7f4fe246512f3ab710a2371a,2,"[0, 1]"
74990408,0xa8d45add1bb2f207330ff84d024baecf097e39d0948b63c351052dbe22b8e9d3,520,0x1a266a78db5dd12ce43f2bd52b912216268e12853298b8675f0d87641d70e6df,0x58e1745bedda7312c4cddb72618923da1b90efde,0x7fdc8ea3f218d4d2d7f57861efdeddde8419c832da2991263d9c08b321204ee3,2,"[0, 1]"
74990409,0x671982873b833aec166c24a93237de6e82997c358ee3827b72825b4de66615dd,1435,0x485ae109aa8fc7d991bfb7060d434cd136c9eb47aa5a313d73d979f6eae79a7d,0x58e1745bedda7312c4cddb72618923da1b90efde,0x0139131b5fc057b35648d305e66108fb450a137a8298a4e50669f58cee9d8eb2,2,"[0, 1]"
74990426,0xec83872c94b0425d42ec82e23d637e98e73f45e0906e947a01c267f9d363a221,4,0x8ea9c9bec55217b204d4bd8ccea4664b04d883793c669b2c5a3594c638b9b4c9,0x6a9d222616c90fca5754cd1333cfd9b7fb6a4f74,0xcb877250c42f4c2d2fb1cf063d2fe35a402413134b5a7d71e6c8e36419891c66,2,"[1, 0]"
74990831,0xb10bf2eda2ba5dad187499942a9a7041d0bc25dde7375c23118a8d73696d9a35,980,0xe15b0b1ff41dd1c500af2e4256b90c1c1412787db255807a23c65a9d08042eba,0x58e1745bedda7312c4cddb72618923da1b90efde,0x7033b8416412bc935e6113b0e3347fcf5881bacf11e7232478005efba8d3a611,2,"[0, 1]"
74990837,0x8450132a444e6da07d0bd83ffd4eb3eca9a7e1216cc4dc6e75a5768149968b4d,543,0x303c17ca124faff4406c2b657a3050241a5b0e7a11f48f3c16688dfca4329fb4,0x58e1745bedda7312c4cddb72618923da1b90efde,0x6fdc4f340f4a7916537c0813023edc4f456851862c196c27874eb81b3b1abb1b,2,"[0, 1]"
74990841,0x7f9774f9e520086ef5d4437564358d3e4d7a5ce4555d7472b9bf7ee0da88c0ff,7,0x080eea7aec02fe48e6d0c3c07b28601c9cb7da65aba2e67df9d240b0c766161d,0x157ce2d672854c848c9b79c49a8cc6cc89176a49,0x907451b7aff6be3d61689265614fbc5deea250913ab6390d01797e52fc419086,2,"[0, 1]"
74990841,0x8c4d09bf389399750a9906c6623fc305681c6b20178c7ab76067b18344bc5413,12,0x183cd95c40c5d41c7daa96ae977280a2256635a4ff44bd76b8eabf033c95e29c,0x157ce2d672854c848c9b79c49a8cc6cc89176a49,0xee83379d15db85aca79cfbc1e9e4d7933e97af7f5eb3d57a3e3edde4f4b1c63f,2,"[0, 1]"
74990867,0x178902cd36f29593219d9eaecb146e382ce0feab4126e3a49b51db97167599b6,33,0xb40e3f64de5f197f0cbf99ec099fefc4264160f338ba1816d335584b9ca48224,0x157ce2d672854c848c9b79c49a8cc6cc89176a49,0x191aea36a8166c8ebc398d4e311d47b0ba564ca605b85faab7da3432871e173e,2,"[0, 1]"
74990868,0x9415f1347c01c6efdf86b8445b960edbd3eb58d73fb468b1bf3e2f7b99e9fe15,5,0xbad788e4b8edfe9be7e7d5a02225b657bd60bb9dac8c4b66da3a131024c2eb46,0x157ce2d672854c848c9b79c49a8cc6cc89176a49,0xd1ef418440f6e318063ee7ffba2d137feba209806c409761dae7275e9d2ba925,2,"[0, 1]"
74991254,0xe085431b0f999d47c58d7aa2b4069a58f848730fe4010d57eb0ca938a476d5be,553,0x6e1f9aaed35b00237cbb504941c25df4330e89f8792344477dad231536c3af95,0x58e1745bedda7312c4cddb72618923da1b90efde,0xe3fe062bed57489c698cc55500ca5d7fbee76ea80f7c2884d134d47f2287aaad,2,"[1, 0]"
