block_number,tx_hash,log_index,fpmm,buyer,investmentAmount,feeAmount,outcomeIndex,outcomeTokensBought
15990055,0x8382ee6bac713e92623501fc4a43ad68717dd24aabdfef7efbe0edfcee340473,368,0x7d362c6b397b16d0fafeb07ed381293c83d4bc7e,0x07c4f39862e865e6f9d307f1df5e6c24367d2c5b,5000000,100000,0,27523463
15990055,0x80ed8a91d61c778f063e858ad422be08e543e4db584115941640be9804dbf6e7,386,0xeece486cb81a7e2aa231e76dc7b7972a1b81e98c,0xcf1cfac0373e68ab4e3d738786cd1f70deae83c7,50000000,1000000,0,52904678
15990123,0x2015a22c3c0253c6b23d8265225be9736248bc2befc86d7bd3ac4767697595c1,423,0x2690000e40f746dad3157f95848cecbe5857dd5b,0x7f2de588e3d990d66fef63bf2378dacc87a139a8,111000000,2220000,0,2107593086
15990145,0xa3a7973bdca5634f8136a2d4c4cc6605e31a2a7bc59c652112b40ed2dd600a2e,8,0x9036e8c496dae179d844dd007bcb65c2f01fb811,0x7a01bdcb19254cebce340f514d363b21fdbfb975,106008264,84806,1,111833206
15990148,0x4ea819aea573053ff402ec0f6878c213cb8f2b8c43d434a31c8ce4ebbe96421a,14,0x9036e8c496dae179d844dd007bcb65c2f01fb811,0x7a01bdcb19254cebce340f514d363b21fdbfb975,102781201,82224,1,108425994
15990218,0x28aef28bcf3003a995fd119229387229753f0b4ba677a1914b8c5f00b1fffa29,437,0x514e63f5cc8a03d4afcef8c67770ec733409171d,0x58744f91ed701afdc02d55b0467b09ce62c505f7,1000000,20000,0,6838882
15990235,0x231215c4392ce8258319d8d9f8769ba76eb7b1bcfeb54b42a4649d69de4ce3ad,188,0x9036e8c496dae179d844dd007bcb65c2f01fb811,0xa63402c1c92f50b050cb962b0e7344bf3e1cbaed,10216801,8173,0,193238680
15990257,0x59c807a00d3f357d51c782bdb173bc37d739dc1a4cd21f3f7a06a0c3ecdd9318,607,0xfd8befe5fbbbc9f25f3d32252f1da8ca01670175,0x58744f91ed701afdc02d55b0467b09ce62c505f7,1000000,20000,0,8093901
15990291,0xd665a9235b325f15afdfd33e03b655228c0cde27dcb7e4a41ef2ec1a3e365ce9,163,0x54a471f1e85c1a3d5ccbb7ef9ab184044ce04707,0x57d25e392c86e901ed50e574fe607f4a60b29992,7000000,140000,0,10468351
15990345,0xf262edb28994b4098bda698343722d7807b2512d0c5b52698719ef3490c9923c,230,0x2805113522e4b70c38da73afc52f24e00ce5adf3,0x68ca80ac4aa58dd272f6c83a315cf41ec05616c6,47225636,944512,0,74927901
15990552,0xae11c745018ccc0e2e0593a5606db927cac9b122a2077b1da42e4cebf1797751,360,0x2805113522e4b70c38da73afc52f24e00ce5adf3,0x412e664b787b09242d2e18aef34fecfe40b0fc99,1020000,20400,0,1605335
15990552,0xecb825d3917776987f74e8ce5a89e10bff7f4d3e93bdf61f639bcfb6914832dd,480,0x392845b73fe8975cb2bdf9cf09af0811fc6ee9e4,0xd82e6c333a3584f42348f604dbea55df5d224e06,500000000,10000000,1,742831570
15990561,0x97aee8afea73677dadbc020228d3380077fdaca389c7279badd1bae0cac7aec4,577,0xe25fc2faa77cb4ec7312466fcc104edb02596831,0x4cc3522b689a6bf1fb4a2444c523e7776db47552,125000000,2500000,1,326843756
15990562,0x5850e262d51d633dec2ad6d670ec842c65ff0a606058031bff5044041a9b422c,434,0xc33cb94861d63c47fdab2419f82ba54aff667540,0xf97da6616e2fbcd998b2aeb6ec72faa0b7725ed0,55000000,1100000,1,66783691
15990562,0xf1dd0b39f65324fba0674e7275fb628bac36cbb1865966c9a09379050ff17202,477,0xc33cb94861d63c47fdab2419f82ba54aff667540,0x63f8eb9f5f902f6637f75f10fc185e77b0f660ac,50000000,1000000,1,56411628
15990562,0x2571399401bdd26c6f38484bb199b69f92850767ea8441ce1dc3b4a0cbfc04a6,489,0xc33cb94861d63c47fdab2419f82ba54aff667540,0xe834edad3c89e41243c796d37f262541d65f6da5,49000000,980000,1,53136561
15990574,0xab0726cb32ebbc00c9991a9d42820bc19772dfd40c5c695a83897d17e4bf1a6e,125,0xc33cb94861d63c47fdab2419f82ba54aff667540,0xe834edad3c89e41243c796d37f262541d65f6da5,50000000,1000000,1,52878259
15990689,0x8eaa10f7244844daad3fce33e759383c71235f388957fa57df07d208b41df775,465,0xe3c0c9c4d097b5ebc22e87669b2b384189558c46,0x412e664b787b09242d2e18aef34fecfe40b0fc99,1000000,20000,1,1848924
15990734,0x9e8395049a8272a841f083b4caf0cdbdf6ffa8eab24ddbb757862c9b8671d44c,490,0x7d362c6b397b16d0fafeb07ed381293c83d4bc7e,0x63f8eb9f5f902f6637f75f10fc185e77b0f660ac,50000000,1000000,0,287010529
15990743,0x0ed2be47326586956a3f1bd8f339240df8a50a8ac3d41f1e928633d615d570e7,150,0xea4755343d9fcf8583b80e896c2583ffc1b70611,0xf97da6616e2fbcd998b2aeb6ec72faa0b7725ed0,44000000,880000,1,52491180
15990749,0x78ab045b6cba2059da8dde4d88198eb76ba0dc1588f6c840382812e5844f4cf4,133,0xea4755343d9fcf8583b80e896c2583ffc1b70611,0x63f8eb9f5f902f6637f75f10fc185e77b0f660ac,50000000,1000000,1,56195040
15990770,0xf8d87502934580f8191358179c778297265c93b381efa5685f073e47b7e86a33,581,0xfd8befe5fbbbc9f25f3d32252f1da8ca01670175,0x429b02a56e3ddce5ba6b1f20237bb2d10965c4a0,6001676,120033,0,47050759
15990778,0x3cbf9aa161325fd5bdb5d2d1ad658243be6b8b7b41a979d78a382367eda3748e,471,0xea4755343d9fcf8583b80e896c2583ffc1b70611,0xe834edad3c89e41243c796d37f262541d65f6da5,15000000,300000,1,16383689
15990792,0xd97e7c22dc890658bec2c067d7e1ac8b29c8a03adf7fc1fe58d3edf7312ee69f,401,0xea4755343d9fcf8583b80e896c2583ffc1b70611,0x63f8eb9f5f902f6637f75f10fc185e77b0f660ac,6000000,120000,0,51629532
15990792,0x5b79e5bca78aa0f57d67f2bd5b5a248e433a8f5917d69c4334506cb83217442c,448,0xea4755343d9fcf8583b80e896c2583ffc1b70611,0xe834edad3c89e41243c796d37f262541d65f6da5,100000000,2000000,1,108727027
