block_number,tx_hash,log_index,fpmm,funder,amountsAdded,sharesMinted
15990055,0xaca900173859983a70e26ced5aa66294bf4a445c8e2bb5f6e842697d95a03b09,343,0xc33cb94861d63c47fdab2419f82ba54aff667540,0x29f638b0d084a7a54200dcb0ee5ffdcd12b9906b,"[1000000000, 311684005]",558286648
15990143,0xe174f6d9502b2640477ee3eef815ea55be0032560e7974169ac0171838b7da61,405,0x2690000e40f746dad3157f95848cecbe5857dd5b,0x1ff2f3c12db9618337fa32079b89b2f550174702,"[4000000000, 223280235]",945050718
15990232,0xc6306a60756f48c64c68ec67dfbdce13fa564c7f2dc5448c6e602637ae63f4f1,294,0x2690000e40f746dad3157f95848cecbe5857dd5b,0x1ff2f3c12db9618337fa32079b89b2f550174702,"[4000000000, 212782475]",922566976
15990313,0x807cf3c7741e39b4141e733d33f5390ed1564d905faae62b43c67fd1fc22c199,309,0x54a471f1e85c1a3d5ccbb7ef9ab184044ce04707,0x57d25e392c86e901ed50e574fe607f4a60b29992,"[274966213, 549690055]",388775240
15990410,0xce0b441e4dc1f186c17870a2df08490aed9c9b5d90218eabe7f8ae871ca0ef11,469,0xea4755343d9fcf8583b80e896c2583ffc1b70611,0x29f638b0d084a7a54200dcb0ee5ffdcd12b9906b,"[1000000000, 266163154]",515910010
15990643,0xca24e3413c3de2bfc5a16234c25d0ca9755431b85f617a9f9b10ef8494be1ae4,175,0xe25fc2faa77cb4ec7312466fcc104edb02596831,0xe834edad3c89e41243c796d37f262541d65f6da5,"[188684027, 300000000]",237918484
15990792,0x278784c36f9b1b2a7811908410fda6afa3a5e5d824b54145a3f3fc7882447a03,374,0x375beafdbd211c932c70613253554df9f7601eb7,0x29f638b0d084a7a54200dcb0ee5ffdcd12b9906b,"[200000000, 39601231]",62929507
15991026,0x4eefb24c35fe5fc029f114feaaf30bbc9c1adea9bbd924401288f07d70a3213c,160,0xe25fc2faa77cb4ec7312466fcc104edb02596831,0xe834edad3c89e41243c796d37f262541d65f6da5,"[190098958, 300000000]",238808886
15991144,0x13bc8948f22b0b1d56220b01fa0449d20cda75f452ea8f89ddf213b279c1479f,239,0xc33cb94861d63c47fdab2419f82ba54aff667540,0xe834edad3c89e41243c796d37f262541d65f6da5,"[500000000, 8018572]",63318917
15991223,0x91f84c3c7fa9b68165326b484278b794696703ee8245c46cbccae733ae3781d4,287,0xe25fc2faa77cb4ec7312466fcc104edb02596831,0xe834edad3c89e41243c796d37f262541d65f6da5,"[187897884, 300000000]",237422328
15991231,0x1f23d072cf6f3cd1945f24b6bd3a0a527c59d98ffb5d1b1d306fb9c3b0cbd068,358,0xeece486cb81a7e2aa231e76dc7b7972a1b81e98c,0xe834edad3c89e41243c796d37f262541d65f6da5,"[30252404, 5000000000]",388924151
15991258,0xad49cd0a90eb68cebd1a64395ad475d451dbfd5e6b683b94fe7d61de3f87c89c,71,0xeece486cb81a7e2aa231e76dc7b7972a1b81e98c,0xe834edad3c89e41243c796d37f262541d65f6da5,"[20219121, 5000000000]",317955326
15991272,0x48c6690bbcd01511851fbd806c5e1e85fc6dec2b7c33dd748606c022ee5f1563,114,0xeece486cb81a7e2aa231e76dc7b7972a1b81e98c,0x29f638b0d084a7a54200dcb0ee5ffdcd12b9906b,"[36394418, 9000000000]",572319587
