block_number,tx_hash,log_index,fpmm,seller,returnAmount,feeAmount,outcomeIndex,outcomeTokensSold
15990003,0xa5356ce376cadd3eb1f267258c0d87615fd89378f1307484091be8870fbfb836,198,0x2690000e40f746dad3157f95848cecbe5857dd5b,0x1ff2f3c12db9618337fa32079b89b2f550174702,52284907,1067038,0,999999983
15990010,0xf1f64192ba548e7d7ec7a191632b0ec6d9747f9198ca51194b0cc61d60d2233b,273,0x4a740a0d4bdd77060765b972423d04fc8eee6100,0x1ff2f3c12db9618337fa32079b89b2f550174702,3615092,73777,0,199999997
15990045,0x5e94aa63f688cb418cae976b869cc43c43aa3e0ac3faa5be4d963c238b2bc7f6,222,0x2690000e40f746dad3157f95848cecbe5857dd5b,0x1ff2f3c12db9618337fa32079b89b2f550174702,51094532,1042745,0,999999991
15990067,0xe4d4efc40aff1cc1f3611450541c8dfbe7d6769d8e5f446f9a3fe36eda5d7ea5,369,0x2690000e40f746dad3157f95848cecbe5857dd5b,0x1ff2f3c12db9618337fa32079b89b2f550174702,49942211,1019228,0,999999993
15990111,0x360abdc18d053a56a49870009a77b6cfa6be6f13cc323f26700700a9b512f3fb,600,0x4568e4dc02ab786893f3f97c16e31faa836c8958,0xffa571a13b808739105e18d5bd5e3e9b9ff34044,396048586,8082624,1,719392205
15990144,0xedebc977c4ddc8d1f8326d09f00fd27d7450a03b1304e38d78e2c1773804dd40,42,0xcb513d589d3e3b463788fb2b764b7d5cd3aaaf3d,0x7a01bdcb19254cebce340f514d363b21fdbfb975,102781201,51416,1,118861327
15990155,0xa53eb36b8118b480fa70af06080c07d8ce73c59a4ce0e09dda58fe86f0c9b5f9,588,0x514e63f5cc8a03d4afcef8c67770ec733409171d,0x57d25e392c86e901ed50e574fe607f4a60b29992,5434401,110906,0,38694156
15990175,0x7264a288d6318e5b4f54af30fad38e0d1af48c4951f42cdca856512c7b014908,428,0x2690000e40f746dad3157f95848cecbe5857dd5b,0x1ff2f3c12db9618337fa32079b89b2f550174702,51220754,1045321,0,999999996
15990190,0x5fdb30a7e2ba075605a39102ddff8cfad9c33a4bb0cad728d98c0f6b6730351f,376,0x2690000e40f746dad3157f95848cecbe5857dd5b,0x1ff2f3c12db9618337fa32079b89b2f550174702,50064412,1021722,0,999999989
15990245,0xfa4774ca988700fed330b50b5bf5b760842fe1164bb137f079ac29183827b2fe,415,0x4a740a0d4bdd77060765b972423d04fc8eee6100,0x1ff2f3c12db9618337fa32079b89b2f550174702,3594715,73361,0,199999992
15990274,0x5a21ac046641171c489f9c50079442f3cce44f74d5d5e650c8954cc3c9a6240f,729,0x2690000e40f746dad3157f95848cecbe5857dd5b,0x1ff2f3c12db9618337fa32079b89b2f550174702,48944772,998872,0,999999987
15990306,0x4b837429b2e4bdb6232261383e602256f2f763938dd587c70871d1b1396e54fa,233,0x76908fe238c47d6b0a864354c3e8e60e42c3d0ac,0x2b71bc97507076a80bd0000cdb134e4fc3041359,1917,39,0,9999
15990324,0x16d80201848348144cc0eb37c3b650a55297686983151aafd5758238210bff6a,178,0x2805113522e4b70c38da73afc52f24e00ce5adf3,0x68ca80ac4aa58dd272f6c83a315cf41ec05616c6,47225636,963788,1,121893342
15990552,0xd81a70d81122ff15ca67ec29da60d11b838d847d931bb5cd4e1b5038339682a7,347,0x1a40fdb67928462b7f1bfc4501957d144b5705e5,0x376441d19f56d43629d3872324dc2e648e13c5eb,243525756,4969913,1,700831107
15990552,0xba8406719ed4dd39321444b9a79dcc1a1ccf7023401ef556c1470bb74493a36b,467,0x2690000e40f746dad3157f95848cecbe5857dd5b,0x1ff2f3c12db9618337fa32079b89b2f550174702,19272353,393313,0,399999989
15990561,0xf1850e9f27f4d7399af8f151c82857893e60e34487f38567bdc8d896a4bf6812,559,0xeece486cb81a7e2aa231e76dc7b7972a1b81e98c,0xeb914a1ccf7475232fa078f8121e9c8d2c4a4002,28481535,581255,1,419999990
15990588,0xf201119baf96895c68d49066a92326d66f920cdf6aba4a2edea9745dc5717600,116,0xeece486cb81a7e2aa231e76dc7b7972a1b81e98c,0xeb914a1ccf7475232fa078f8121e9c8d2c4a4002,56402405,1151069,1,998999991
