block_number,tx_hash,log_index,exchange,orderHash,maker,taker,makerAssetId,takerAssetId,makerAmountFilled,takerAmountFilled,fee
74990000,0x9df04a4d2a4a2b50c3c6446ddcfb284394bb11ce2dd2ba610597c60c34e5b272,928,CTFExchange,0x9e789ff30c7e491528135944a0b78733b2b3b8f04ee1e893d210a1cb64e8f0fb,0x2c41d0ca2b4b2344912eead711f28cd4dcff133e,0xc97044fae49b20c6115defa88baee804e6420666,0,73194341085998761151804156906976662555817765200359237094352249192842869611654,39000000,50000000,0
74990000,0x9df04a4d2a4a2b50c3c6446ddcfb284394bb11ce2dd2ba610597c60c34e5b272,930,CTFExchange,0x04a11765f182d14cf4d5be4c22243c35738b0051264b2d8ef7e9351a9aa6fc17,0xc97044fae49b20c6115defa88baee804e6420666,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,73194341085998761151804156906976662555817765200359237094352249192842869611654,0,50000000,39000000,0
74990000,0x19918650ac89cc4d5bdd1373310f86a0248e87bb43e721ad01331507b8f0f95f,939,CTFExchange,0xae1cbf297de57ba049d3305ff0c51a1db32d145ca6a68e1a7fb5a357d6f5e5ef,0x0dfae545cadcc4d31c29a743ecb67f6af4c0c0e3,0x5d6c88265c15281d4d655cb95c74d443b1c97ecc,111217145027231733281098283820392455841371994535884663355944422820240423500204,0,20360000,61080,0
74990000,0x19918650ac89cc4d5bdd1373310f86a0248e87bb43e721ad01331507b8f0f95f,941,CTFExchange,0x9899b25d85b678543fbdbb0640aee31109fd8b65e329b3dc8a9b666f48d3c35a,0x5d6c88265c15281d4d655cb95c74d443b1c97ecc,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,19701256321759583954581192053894521654935987478209343000964756587964612528044,0,20360000,20298920,0
74990000,0x77b1b93e716fb9c751ac19d745451578997077a6cdd2c81bf7290fba6ac91f00,948,CTFExchange,0xa75d80e8b725fbfdc8f3c03ec4f3cfce0f44ffc14ad7861992fb380ed2806484,0x4a38e6e0330c2463fb5ac2188a620634039abfe8,0xadb7cd183a5ffaa80407bb95f232e4a573182983,64148310329753993625322897885100185496018247028920405697092604654838731860648,0,207612455,59999999,0
74990000,0x77b1b93e716fb9c751ac19d745451578997077a6cdd2c81bf7290fba6ac91f00,950,CTFExchange,0x991f73dd97c72bb0d4d840dbc653d0602c88590d0941fcbb96766bef6a443009,0xadb7cd183a5ffaa80407bb95f232e4a573182983,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,64148310329753993625322897885100185496018247028920405697092604654838731860648,59999999,207612455,0
74990000,0x55679c1d6eaf89ed50ac3a759f7df8c866736ce35a8146bd9c1f41802a14caa0,962,CTFExchange,0x75759f38dfa8a601f30fe033afaa106a4e6099290cc77fa13638597164ecf384,0x3c04e10977cf7585e99369e4c2dac04262bf3bb2,0x4aa13462a40d3477a1c11748f52c11e2a4a574f9,0,33538269346367082531811581882164613624398355502873703000600625463114260324470,352941,2352940,0
74990000,0x55679c1d6eaf89ed50ac3a759f7df8c866736ce35a8146bd9c1f41802a14caa0,964,CTFExchange,0xa42cb5c40f4ee524e2ea85a82414d0d3ac0d0b9e96d25b7a4261da23167a7452,0x4aa13462a40d3477a1c11748f52c11e2a4a574f9,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,69971608369823879925312121985925443181621746284768809347300855640187943298522,1999999,2352940,0
74990000,0xeab66161aff4746c1704a6eca02e9e9d5681754f050956bd5f645a303f17d255,973,CTFExchange,0xae1cbf297de57ba049d3305ff0c51a1db32d145ca6a68e1a7fb5a357d6f5e5ef,0x0dfae545cadcc4d31c29a743ecb67f6af4c0c0e3,0x87cf6b764c7e1d7d9d85c88c485bdf0be55294f9,111217145027231733281098283820392455841371994535884663355944422820240423500204,0,22060000,66180,0
74990000,0xeab66161aff4746c1704a6eca02e9e9d5681754f050956bd5f645a303f17d255,975,CTFExchange,0x32e9dd8854f3821b126f1ec06bd666a98d0ec5af29b11a1c7eb9f8b6135a8d5b,0x87cf6b764c7e1d7d9d85c88c485bdf0be55294f9,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,19701256321759583954581192053894521654935987478209343000964756587964612528044,0,22060000,21993820,0
74990000,0x42d463416ae2ff427563377ba5d3dcbe3eaa0e32cc64c12252fda584ea1db71e,987,CTFExchange,0x918d51e3e755fdb96c33b2d9c51fb1b1678b3332082874fc3594ddfcb2b21b97,0xeffcc79a8572940cee2238b44eac89f2c48fda88,0x4aa13462a40d3477a1c11748f52c11e2a4a574f9,0,20101417678753007936152469234361246932369602137520249913315540208842785125605,439024,2439022,0
74990000,0x42d463416ae2ff427563377ba5d3dcbe3eaa0e32cc64c12252fda584ea1db71e,989,CTFExchange,0x7dc4a9629b708f14dcfec17955e20f7038449eb8864f5b57cae7c1ad82bbfeae,0x4aa13462a40d3477a1c11748f52c11e2a4a574f9,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,63761233352525570727057714579524754637526846174034844441663088649452683485947,1999998,2439022,0
74990001,0xb689f5cc8a5882d583c98cf6cd03fc23cd7e1d1d2279ec666b27dc4b4121e0d3,633,CTFExchange,0xae1cbf297de57ba049d3305ff0c51a1db32d145ca6a68e1a7fb5a357d6f5e5ef,0x0dfae545cadcc4d31c29a743ecb67f6af4c0c0e3,0xdd84474a8fc7869059075d79ae869542de577d78,111217145027231733281098283820392455841371994535884663355944422820240423500204,0,21870000,65610,0
74990001,0xb689f5cc8a5882d583c98cf6cd03fc23cd7e1d1d2279ec666b27dc4b4121e0d3,635,CTFExchange,0xb58f1aa977a180114001fc86bf22f79fc4dfa68b62a704feb9d980341df0479a,0xdd84474a8fc7869059075d79ae869542de577d78,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,19701256321759583954581192053894521654935987478209343000964756587964612528044,0,21870000,21804390,0
74990002,0x93b18a475ca74a8045cd7f30146515885b42df9237373f246207f5996e333a2d,363,CTFExchange,0xf7a884763d08033dc0c063dc3f8d83bee927cb5bbc54662683870e49993d831e,0x9ad091ca2e8f1bd69f27662edcb49dceeaa5bf3d,0x0739e48bb44be87f051141a293f31dfd14f97ae2,7657695835847791018689717113321675701059451635592929427241663379334511279097,0,18910000,16754260,0
74990002,0x93b18a475ca74a8045cd7f30146515885b42df9237373f246207f5996e333a2d,366,CTFExchange,0xdbc84d83a3c2e94b316a01b9e7e93cbaa22c167e6523cd2190f8bd4915d189ce,0x9ad091ca2e8f1bd69f27662edcb49dceeaa5bf3d,0x0739e48bb44be87f051141a293f31dfd14f97ae2,7657695835847791018689717113321675701059451635592929427241663379334511279097,0,3663362,3245738,0
74990002,0x93b18a475ca74a8045cd7f30146515885b42df9237373f246207f5996e333a2d,368,CTFExchange,0xe548ea4d01a7fb84fac9dc5566adfd0607b6ebe3e493db076104b938ca128338,0x0739e48bb44be87f051141a293f31dfd14f97ae2,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,7657695835847791018689717113321675701059451635592929427241663379334511279097,19999998,22573362,0
74990003,0x14013ccafda62422583582878ffae7d549504638a828f70fe7eee84c8c03656b,1126,CTFExchange,0xae1cbf297de57ba049d3305ff0c51a1db32d145ca6a68e1a7fb5a357d6f5e5ef,0x0dfae545cadcc4d31c29a743ecb67f6af4c0c0e3,0x8f8706af4b20fc0be818ec48b28ee435ac822439,111217145027231733281098283820392455841371994535884663355944422820240423500204,0,20580000,61740,0
74990003,0x14013ccafda62422583582878ffae7d549504638a828f70fe7eee84c8c03656b,1128,CTFExchange,0xb6360e4100a7ad80c70829bb5a04d1978d17ef29582ce4ab458df36c8546178f,0x8f8706af4b20fc0be818ec48b28ee435ac822439,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,19701256321759583954581192053894521654935987478209343000964756587964612528044,0,20580000,20518260,0
74990004,0xf1557da8f16d4309025654c3e079992cd81b05fce5cf25ab853432c0520b0744,466,CTFExchange,0xae1cbf297de57ba049d3305ff0c51a1db32d145ca6a68e1a7fb5a357d6f5e5ef,0x0dfae545cadcc4d31c29a743ecb67f6af4c0c0e3,0x0fdcd513148d2b377734a80065f5fb664a9d126f,111217145027231733281098283820392455841371994535884663355944422820240423500204,0,21290000,63870,0
74990004,0xf1557da8f16d4309025654c3e079992cd81b05fce5cf25ab853432c0520b0744,468,CTFExchange,0x8923d4b262373e806184e878cbf6085d2d5c0a63dc5518b7685576e633740ae6,0x0fdcd513148d2b377734a80065f5fb664a9d126f,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,19701256321759583954581192053894521654935987478209343000964756587964612528044,0,21290000,21226130,0
74990004,0x3df86877ab8c5d45c4373dba8ec9bf89838a99143907518fd9c4d803afe57574,475,CTFExchange,0x64993715bc27f624c66388db8b04e2f3468d9a9a4478be3050c82c3d53a5fe22,0xf0b0ef1d6320c6be896b4c9c54dd74407e7f8cab,0x9ad091ca2e8f1bd69f27662edcb49dceeaa5bf3d,23268548363593214504050766636306980756494490728376984771614246418846887337449,0,71430000,69429960,0
74990004,0x3df86877ab8c5d45c4373dba8ec9bf89838a99143907518fd9c4d803afe57574,478,CTFExchange,0xb26e64abdb6ee46a304730d42232d3242329700138fb8c0feb4f7e51d578a2fd,0x21ffd2b7a212a6f277ed3eca1a9f8efcbca90d71,0x9ad091ca2e8f1bd69f27662edcb49dceeaa5bf3d,23268548363593214504050766636306980756494490728376984771614246418846887337449,0,16000000,15552000,0
74990004,0x3df86877ab8c5d45c4373dba8ec9bf89838a99143907518fd9c4d803afe57574,481,CTFExchange,0x94441bc2a3d04e3f28216fa9d0dfc5bb3c10c1ef92a0dce21f2e63ae0f55f8d6,0xa9a17207f78f18521868a51e94b763c3bd66c98a,0x9ad091ca2e8f1bd69f27662edcb49dceeaa5bf3d,23268548363593214504050766636306980756494490728376984771614246418846887337449,0,51000000,49572000,0
74990004,0x3df86877ab8c5d45c4373dba8ec9bf89838a99143907518fd9c4d803afe57574,484,CTFExchange,0x40efd903a3057946484b3fd05b0553e35f20f5134960091c3398967a59ec3dd7,0x21ffd2b7a212a6f277ed3eca1a9f8efcbca90d71,0x9ad091ca2e8f1bd69f27662edcb49dceeaa5bf3d,23268548363593214504050766636306980756494490728376984771614246418846887337449,0,32110000,31275140,0
74990004,0x3df86877ab8c5d45c4373dba8ec9bf89838a99143907518fd9c4d803afe57574,492,CTFExchange,0x9baaf71dba19d9dda44f8c0d2f6a1cc2e8353aa728229983323b01691172d121,0x5fe50c22621779e031322c5becb110d1fa0d8b99,0x9ad091ca2e8f1bd69f27662edcb49dceeaa5bf3d,0,10781914913628463441987657025676201150234065898493590890427500076179835819509,250000,10000000,0
74990004,0x3df86877ab8c5d45c4373dba8ec9bf89838a99143907518fd9c4d803afe57574,500,CTFExchange,0xb91cc4e3be4f89e54bb553437448b5a7d7e71646b05e387a94ebc9b9d6e9e621,0xa9a17207f78f18521868a51e94b763c3bd66c98a,0x9ad091ca2e8f1bd69f27662edcb49dceeaa5bf3d,0,10781914913628463441987657025676201150234065898493590890427500076179835819509,1275000,51000000,0
74990004,0x3df86877ab8c5d45c4373dba8ec9bf89838a99143907518fd9c4d803afe57574,502,CTFExchange,0x36915f8f8219a964371b471a4b34eaa7666758a2f36ae751df58d3115743ba1d,0x9ad091ca2e8f1bd69f27662edcb49dceeaa5bf3d,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,23268548363593214504050766636306980756494490728376984771614246418846887337449,225304100,231540000,0
74990005,0xe017f6e7ddf3a749cbf4778b02d319a2a75ecea41848a3e40a0b6a9bd711581c,643,CTFExchange,0xae1cbf297de57ba049d3305ff0c51a1db32d145ca6a68e1a7fb5a357d6f5e5ef,0x0dfae545cadcc4d31c29a743ecb67f6af4c0c0e3,0x8a1b27b2847ce68846d79dac7c09b86c6f170f4c,111217145027231733281098283820392455841371994535884663355944422820240423500204,0,21850000,65550,0
74990005,0xe017f6e7ddf3a749cbf4778b02d319a2a75ecea41848a3e40a0b6a9bd711581c,645,CTFExchange,0x4ed35a120f174657d150de8f1a006d261a7f0499688ffa05ac7471661bf642cb,0x8a1b27b2847ce68846d79dac7c09b86c6f170f4c,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,19701256321759583954581192053894521654935987478209343000964756587964612528044,0,21850000,21784450,0
74990006,0x5f916a2fa2bf848bbe64e8e7b0a638e723255fc0c0bd9c4fe3a183338839d9e3,265,CTFExchange,0x253cdeb57068a6bd011bf6960457cccbf12f6732f0b97956a4bb239caa930908,0x8f13db915cca106e6330e8a39996c0a875d8daae,0xbdd11cc911ec8ed95887e56dc253d70cb36b0c4f,0,82373092083381110390456864441815712061222969843382368021162848615654637260643,440000,20000000,0
74990006,0x5f916a2fa2bf848bbe64e8e7b0a638e723255fc0c0bd9c4fe3a183338839d9e3,267,CTFExchange,0xd4fecf1baf210ad4a8a18ad2863e08c8ef0fe1f3802d8fa16317e4db9fe55eb3,0xbdd11cc911ec8ed95887e56dc253d70cb36b0c4f,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,61252877731219018161957349016121695221827908139260785314907766665744576836950,19560000,20000000,0
74990006,0xa8c3a2169751071517b2852526235aa6f47d34be362ae2763e43e279b394feca,276,CTFExchange,0xae1cbf297de57ba049d3305ff0c51a1db32d145ca6a68e1a7fb5a357d6f5e5ef,0x0dfae545cadcc4d31c29a743ecb67f6af4c0c0e3,0x12d496d4c2ac84d73558bd28ca1d5ea4ae3eeab6,111217145027231733281098283820392455841371994535884663355944422820240423500204,0,21450000,64350,0
74990006,0xa8c3a2169751071517b2852526235aa6f47d34be362ae2763e43e279b394feca,278,CTFExchange,0x7a86e02e950c85dd080cf5855e5ea16efa4f0630b6ddc16bd49bce8076666d22,0x12d496d4c2ac84d73558bd28ca1d5ea4ae3eeab6,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,19701256321759583954581192053894521654935987478209343000964756587964612528044,0,21450000,21385650,0
74990007,0x431f60a391d506c90505422ba591802cbeeea37211f3de2101fb25a2b1e2ca6d,386,CTFExchange,0xae1cbf297de57ba049d3305ff0c51a1db32d145ca6a68e1a7fb5a357d6f5e5ef,0x0dfae545cadcc4d31c29a743ecb67f6af4c0c0e3,0xe2bd1c847c2ce2ae80f6f049a439f59f09e87f33,111217145027231733281098283820392455841371994535884663355944422820240423500204,0,21220000,63660,0
74990007,0x431f60a391d506c90505422ba591802cbeeea37211f3de2101fb25a2b1e2ca6d,388,CTFExchange,0x1f747e823186ba6ebcd8820df85fa601946d85a151daab58208baf1f282ae066,0xe2bd1c847c2ce2ae80f6f049a439f59f09e87f33,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,19701256321759583954581192053894521654935987478209343000964756587964612528044,0,21220000,21156340,0
74990008,0x429a9f2bbacf101bc5e7ac41b2d202d8243bc77e98c4cf0ccc87a5b89005e065,485,CTFExchange,0x152600d1f849ae39961a4df89ea09aa51364cbcf7bc933b100e18ddc16c78266,0xf0b0ef1d6320c6be896b4c9c54dd74407e7f8cab,0x9ad091ca2e8f1bd69f27662edcb49dceeaa5bf3d,0,10781914913628463441987657025676201150234065898493590890427500076179835819509,2500000,100000000,0
74990008,0x429a9f2bbacf101bc5e7ac41b2d202d8243bc77e98c4cf0ccc87a5b89005e065,487,CTFExchange,0x56ee31f11e565ba2345ff05c1b05e1ec4664e3d70ca27ab5a099e9c39c3ef575,0x9ad091ca2e8f1bd69f27662edcb49dceeaa5bf3d,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,23268548363593214504050766636306980756494490728376984771614246418846887337449,97500000,100000000,0
