block_number,tx_hash,log_index,redeemer,collateralToken,parentCollectionId,conditionId,indexSets,payout
74999006,0xac22ef86f39d96238bbbb08f13a877a1ee50074c8290084fab6fdfdbfe49dd77,347,0x3a6eccd7b3fd3aee95e7c59a8af79c895faab172,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x555233a278ccc95e220637dad6d419922c62c4a0fde31813d726af9f92039bfa,"[1, 2]",13553190
74999006,0xac22ef86f39d96238bbbb08f13a877a1ee50074c8290084fab6fdfdbfe49dd77,350,0x3a6eccd7b3fd3aee95e7c59a8af79c895faab172,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0xdb9f91e1e8a564a52deebcd1d1d7fa2382daeaa9f9ed3ef33cfb2be57efa6bb9,"[1, 2]",11872339
74999006,0xac22ef86f39d96238bbbb08f13a877a1ee50074c8290084fab6fdfdbfe49dd77,353,0x3a6eccd7b3fd3aee95e7c59a8af79c895faab172,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0xf7d5ec2994064c8fd3326e48a963d65de496a226094c6acef6265684918fe8ba,"[1, 2]",11142856
74999006,0xac22ef86f39d96238bbbb08f13a877a1ee50074c8290084fab6fdfdbfe49dd77,356,0x3a6eccd7b3fd3aee95e7c59a8af79c895faab172,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0xd3523417d1bd6162cf1cd0d92bd957d9fd0b226d7441d3b2625673dae60c1a2a,"[1, 2]",6575000
74999017,0x959d084eadd43225876da7e5120c2b7175f8426ed3fe098bdec6bd1aa6b7a048,269,0xca94210c2c8dbd5de33b065c83c431716795daac,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0xa4f0276aba6cc679c82649890d8aed82ff5b5948f311558c04386c4c1e2ff02a,"[1, 2]",5517856
74999021,0x700ac35d53c4a461a9378c1bc72bb620f4af6e383045400056275a3f56777950,277,0xb5794ff8ce96b773701fe9333283915eef5ff458,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0xd3523417d1bd6162cf1cd0d92bd957d9fd0b226d7441d3b2625673dae60c1a2a,"[1, 2]",50000000
74999021,0x700ac35d53c4a461a9378c1bc72bb620f4af6e383045400056275a3f56777950,280,0xb5794ff8ce96b773701fe9333283915eef5ff458,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0xf7d5ec2994064c8fd3326e48a963d65de496a226094c6acef6265684918fe8ba,"[1, 2]",47619046
74999021,0x700ac35d53c4a461a9378c1bc72bb620f4af6e383045400056275a3f56777950,283,0xb5794ff8ce96b773701fe9333283915eef5ff458,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x555233a278ccc95e220637dad6d419922c62c4a0fde31813d726af9f92039bfa,"[1, 2]",42553190
74999021,0x700ac35d53c4a461a9378c1bc72bb620f4af6e383045400056275a3f56777950,286,0xb5794ff8ce96b773701fe9333283915eef5ff458,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0xe00860de118b829b4ff1917ba7e6b47073c0dbc1beed11a9375b562e6121f2be,"[1, 2]",40000000
74999021,0x700ac35d53c4a461a9378c1bc72bb620f4af6e383045400056275a3f56777950,289,0xb5794ff8ce96b773701fe9333283915eef5ff458,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x4121bdfb8114da0a31b907cf4f5514dd47260588529733ef798f51d965128334,"[1, 2]",37037036
74999021,0x700ac35d53c4a461a9378c1bc72bb620f4af6e383045400056275a3f56777950,293,0xb5794ff8ce96b773701fe9333283915eef5ff458,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x1cce3e217d5589ccd57d55ec8a28d0395df7223db54d71da7169496ed4118630,"[1, 2]",27397259
74999026,0x98a3acbcc8a90b7c16a9840398fe0f733ef07fa8501445e9927faf894fe6a43d,357,0xcd9119e42138fa9d2cc6c2cba18b3664f1514a5d,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0xa4f0276aba6cc679c82649890d8aed82ff5b5948f311558c04386c4c1e2ff02a,"[1, 2]",8561402
74999027,0x0e7f8d53c1288cb35cf06158d874dc2b2813bf792d5ff5d2c06ad6ff2f6b00ec,605,0x8855b632fa0feb19465426cda11f28ceee9d2910,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x22c0a72610deceb4f24a1909b48b880a1d43b6c5ec12c6acd2778b3d1be785b1,"[1, 2]",1698400
74999031,0xfb1f44912a026fb0117faec392e2cf3ec8a1aa2688aa8dc5fa9b3cbad9b48cfb,486,0x9a0f50a834f9dce754b5c192386a55ea21a9d7b2,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x8d56032a70551b17890cf2b31d3ecbfae25e40a6ca48d60165bd0869b67ca74d,"[1, 2]",17549449
74999035,0xcd4a690b22e3c2b2a4a16e0e437157de16b407f1f6d821073bdee42241bbf5c7,461,0x43da216d7727a62cc67086896c6b63dc5b5e1234,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0xa4f0276aba6cc679c82649890d8aed82ff5b5948f311558c04386c4c1e2ff02a,"[1, 2]",7818180
74999036,0xe20c211488b6271732b891545223840478e8a62328b0662c235315b35e138a7e,332,0x5930fb98e417e755779781c64b5fd9f081b0f3fd,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0xe00860de118b829b4ff1917ba7e6b47073c0dbc1beed11a9375b562e6121f2be,"[1, 2]",50000000
74999036,0xe20c211488b6271732b891545223840478e8a62328b0662c235315b35e138a7e,335,0x5930fb98e417e755779781c64b5fd9f081b0f3fd,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x555233a278ccc95e220637dad6d419922c62c4a0fde31813d726af9f92039bfa,"[1, 2]",50000000
74999051,0x35595779d81092bc99c46fa647bf85a4be4b76a9b8e4d0367351bc11ca7b9310,329,0x6c9d92971c74d3eb4992c368dc4b979b083d7468,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0xa4f0276aba6cc679c82649890d8aed82ff5b5948f311558c04386c4c1e2ff02a,"[1, 2]",4036362
74999066,0xba378430ddd00482151415997d72fb58db63d61495f6c1400db08293650832f4,349,0x7c0b2151b0353d02f36d03400c8e742a46ef0d7b,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x5d892486e700e4b7afb9b1726ce4697b0c3002bc086dca4bf1131c932788e920,"[1, 2]",45000000
74999068,0x43ec2db514f2b262f537a39e706ad821285867317a199926f288a97b4c36427e,317,0x033f0346c007323030eb420305ffede19a95618e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x0833f3fd560b84074a1d6b471cad6ea3fc8a967ce0e88290ddb85c019f8e6d97,"[1, 2]",685000000
74999068,0x43ec2db514f2b262f537a39e706ad821285867317a199926f288a97b4c36427e,320,0x033f0346c007323030eb420305ffede19a95618e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0xd728578b858aa13aa8273b1a3fb91eb1c84f5a1f62a738acb3a477942a6bb6b9,"[1, 2]",461000000
74999068,0x43ec2db514f2b262f537a39e706ad821285867317a199926f288a97b4c36427e,323,0x033f0346c007323030eb420305ffede19a95618e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0xa21888174d7153a9fda2c4c9b1cd81cab4ed357b4d380ee08f037e639944bdec,"[1, 2]",375000000
74999068,0x43ec2db514f2b262f537a39e706ad821285867317a199926f288a97b4c36427e,326,0x033f0346c007323030eb420305ffede19a95618e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0xcba5f9f0ab12bbe6c92abc5543c9501c10284c482de6aa3c1cf53b2fa6a11469,"[1, 2]",262000000
74999068,0x43ec2db514f2b262f537a39e706ad821285867317a199926f288a97b4c36427e,329,0x033f0346c007323030eb420305ffede19a95618e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x6d4d1a911f4e137fa516b1e39659d9db0559e9f4154632a1586ca39d8e99c8a8,"[1, 2]",191000000
74999068,0x43ec2db514f2b262f537a39e706ad821285867317a199926f288a97b4c36427e,332,0x033f0346c007323030eb420305ffede19a95618e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x98742f6d34d8a6e47c31b1b7cc8efb4714fdd5f44bef81f867213c4a135d805a,"[1, 2]",132000000
74999068,0x43ec2db514f2b262f537a39e706ad821285867317a199926f288a97b4c36427e,336,0x033f0346c007323030eb420305ffede19a95618e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0xbf10fd865a9b5b87dd1628c81f6d3f6a9ac786cd722d323d409f7efb5faa84a7,"[1, 2]",110000000
74999068,0x43ec2db514f2b262f537a39e706ad821285867317a199926f288a97b4c36427e,340,0x033f0346c007323030eb420305ffede19a95618e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x082ac608553ad4705cc0a0b5dd51f4d8ed6e3a9aac4fdb4e1ffdfe865392e408,"[1, 2]",108000000
74999068,0x43ec2db514f2b262f537a39e706ad821285867317a199926f288a97b4c36427e,343,0x033f0346c007323030eb420305ffede19a95618e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x7d13bf7aa8c22603f4886410eeaea1346baaca536a5de14de1d67d03a216cda6,"[1, 2]",50000000
74999068,0x43ec2db514f2b262f537a39e706ad821285867317a199926f288a97b4c36427e,346,0x033f0346c007323030eb420305ffede19a95618e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x78c47d9353ac3a118d7f31d92fb070806f0e8cfe24b638c10e889a315974d8a8,"[1, 2]",20000000
