block_number,tx_hash,log_index,stakeholder,collateralToken,parentCollectionId,conditionId,partition,amount
74990000,0x55679c1d6eaf89ed50ac3a759f7df8c866736ce35a8146bd9c1f41802a14caa0,960,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0xf668b1c8e01f8cc93fa0e7c5ba2e4b1d5e2b30749e5796a3a8b308412a54e3de,"[1, 2]",2352940
74990000,0x42d463416ae2ff427563377ba5d3dcbe3eaa0e32cc64c12252fda584ea1db71e,985,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x6f0b4d1460bc5c4c4cc0a963275df2a9974bda8fe650f784ce74c4a42070c64e,"[1, 2]",2439022
74990001,0xbbf9b235d4743bacd396fece74a0781922f70b3cd86f1a10c685cdbac1f993ba,618,0xd91e80cf2e7be2e162c6513ced06f1dd0da35296,0x3a3bd7bb9528e159577f7c2e685cc81a765002e2,0x0000000000000000000000000000000000000000000000000000000000000000,0xb7f8a72c3bdf794a7439e78a7e163a754da77a079be5c4f87148562b3b71437f,"[1, 2]",20000000
74990003,0xf8fe54ee1362786681736db2e2b501114cfc3c45d9b311d6bfae834ad754e997,1142,0xd91e80cf2e7be2e162c6513ced06f1dd0da35296,0x3a3bd7bb9528e159577f7c2e685cc81a765002e2,0x0000000000000000000000000000000000000000000000000000000000000000,0x9dfb8ebda9fda3392c3fe50082ee367c839b5667641e0d04154c4a3624662e2b,"[1, 2]",9859200
74990003,0x59ba7101f12dc5a2b83723e7666bdf4dab9e9b8a5444e41b16236fa9311003e7,1162,0xd91e80cf2e7be2e162c6513ced06f1dd0da35296,0x3a3bd7bb9528e159577f7c2e685cc81a765002e2,0x0000000000000000000000000000000000000000000000000000000000000000,0xb7f8a72c3bdf794a7439e78a7e163a754da77a079be5c4f87148562b3b71437f,"[1, 2]",20000000
74990004,0x3df86877ab8c5d45c4373dba8ec9bf89838a99143907518fd9c4d803afe57574,490,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0xf59780b2d983f7323e570a953b9e42bbe38f7cce41a38b76354680a83acf7e57,"[1, 2]",10000000
74990004,0x3df86877ab8c5d45c4373dba8ec9bf89838a99143907518fd9c4d803afe57574,498,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0xf59780b2d983f7323e570a953b9e42bbe38f7cce41a38b76354680a83acf7e57,"[1, 2]",51000000
74990005,0x54b0f8e5bd607f913a85315b6a9a70c9f2f9dd4781dcef5b5f93b9e20fd65bb2,659,0xd91e80cf2e7be2e162c6513ced06f1dd0da35296,0x3a3bd7bb9528e159577f7c2e685cc81a765002e2,0x0000000000000000000000000000000000000000000000000000000000000000,0x9f41a3e4a2ef548cf207c22a48dbaf73e28dda5ec014c145217f428aaf3769e3,"[1, 2]",150000000
74990006,0x5f916a2fa2bf848bbe64e8e7b0a638e723255fc0c0bd9c4fe3a183338839d9e3,263,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x9b384b7a56c41e7181d207e3a46e54dd1d1805200e976abfb8f621fd3dfd37c5,"[1, 2]",20000000
74990007,0x29ce6bbdb9227242724492d6753a81875e64dcc5584943516584687c8c9416c8,371,0xd91e80cf2e7be2e162c6513ced06f1dd0da35296,0x3a3bd7bb9528e159577f7c2e685cc81a765002e2,0x0000000000000000000000000000000000000000000000000000000000000000,0xb7f8a72c3bdf794a7439e78a7e163a754da77a079be5c4f87148562b3b71437f,"[1, 2]",20000000
74990008,0x429a9f2bbacf101bc5e7ac41b2d202d8243bc77e98c4cf0ccc87a5b89005e065,483,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0xf59780b2d983f7323e570a953b9e42bbe38f7cce41a38b76354680a83acf7e57,"[1, 2]",100000000
