block_number,tx_hash,log_index,stakeholder,marketId,indexSet,amount
74990193,0x1c9c71e425587cb50a9d42a92cfb872759caa0cee5c93f07dca79aba19278d1e,650,0x5ecde7348ea5100af4360dd7a6e0a3fb1d420787,0xe14500a62f39f74d657364c5d07f6a9affbe2470d24cbb97adb1e15528b74200,1048578,1000017546
74990233,0x33ed7704dbcef098d8ea60af667e273016ae246f15bb9ec791b3fec1a869e0d6,326,0xe3726a1b9c6ba2f06585d1c9e01d00afaedaeb38,0x50096938b79cfb53a22f83ef28dac0360c0578d90ab42f137e35ecb2cafce300,64,200000000
74990259,0xc1755899d51eb0d87df5e328b510d4446b670d596c363cedaca7e0737667ecf7,176,0x5f390e4b7d6f06d6756a6c92afdbf7b3176aa78c,0x50096938b79cfb53a22f83ef28dac0360c0578d90ab42f137e35ecb2cafce300,124,6090000
74990266,0x793de0c9ba9195de3b81356774b4913472af884045657778e89dd884dd6b2412,705,0x2a315a8d15cfde768bcd47ba5cacf3ef5894f2f0,0x50096938b79cfb53a22f83ef28dac0360c0578d90ab42f137e35ecb2cafce300,127,40000000
74990270,0xd992a30e4dce03dfbe65438b6d0766539977cdf91015727fd03081aa26a294f4,359,0xb13d096b2e90411d0e5f42891d2e73ef4cea2e90,0xc0519374f3bab912cf21f8bdf511657c5db230062a3550eebe85f5eb93217700,6,11000000
74990270,0xd992a30e4dce03dfbe65438b6d0766539977cdf91015727fd03081aa26a294f4,368,0xb13d096b2e90411d0e5f42891d2e73ef4cea2e90,0x6a2eeddfe94cdb72bb5b9584604ebab0746242af1cdeff15a4fe1a0dedd9b000,6,127331598
74990270,0xd992a30e4dce03dfbe65438b6d0766539977cdf91015727fd03081aa26a294f4,377,0xb13d096b2e90411d0e5f42891d2e73ef4cea2e90,0x45927068fb8871457cfd4eb65eed17f36a933f32350e41fe752f28143d52a500,6,4290977
74990270,0xd992a30e4dce03dfbe65438b6d0766539977cdf91015727fd03081aa26a294f4,386,0xb13d096b2e90411d0e5f42891d2e73ef4cea2e90,0x3851180574abf8fd3cbd2daa0528575a689924eb185a0444a57137c801d86d00,6,4000000
74990270,0xd992a30e4dce03dfbe65438b6d0766539977cdf91015727fd03081aa26a294f4,395,0xb13d096b2e90411d0e5f42891d2e73ef4cea2e90,0x23d904292eda12e1af549f115530f20357d055c43b1f349e669efe43d3c3e300,6,3703702
74990341,0xd0e4ce9e60e0a8408833000edb2306cdd2d5a18b198d8a67e1d1919732584a53,489,0x7740253843b20007a4c99c3766878351002acbcd,0x50096938b79cfb53a22f83ef28dac0360c0578d90ab42f137e35ecb2cafce300,88,8000000
74990366,0xb9d66fefdc3794fc42ae984ee966b37bc4ea48ad25ea4e18a7655c9ca6b9b20d,1071,0x2a315a8d15cfde768bcd47ba5cacf3ef5894f2f0,0x11e9a09023ace3097de216497c6fc01a57a57d63df7370543f288b40251dda00,1073741823,10000000
74990704,0xe46bef6bcff8d29cf4242d6c451d31790089808c14fbaf5ff134db60fb20bf66,786,0xcd91a549956854fdc38efad7e80ff5da8f5432b8,0xe156e2bf5ed9660225915ea33eb3720a8e4d0519408701509500eb8efe16a300,130559,51000000
74990716,0x6516a8a27cec0554d29d56481ed4681c160c1552e1864232fd90dc253caa8394,375,0xcd91a549956854fdc38efad7e80ff5da8f5432b8,0x40a82019d6137f329d0c0c994a3588b6439e98a1b4ff69ba9c9b1a83db2b9000,15,8690000
74990741,0xf9484afff5ff3b30e85baf20ce172d25fed9383c844e347e04369c6b6e2ecf58,371,0x7740253843b20007a4c99c3766878351002acbcd,0x50096938b79cfb53a22f83ef28dac0360c0578d90ab42f137e35ecb2cafce300,72,16000000
74990810,0x74ba550abdeeea69bb348cfffbd2ed0548bf65557b364bf49f8df8cbeac95d8c,397,0xb976d74f29b41abd6ed443aea544f397a3bf484f,0xd2c3fa51f46c7bc9c3c9d6af3228a025d384ebebfa7080d62c425ea885d01600,262144,587000000
74990825,0xdd8a4f07f6b47451dc6734eb81c58acdf23d8db807081d409087306cde731fb5,457,0xb13d096b2e90411d0e5f42891d2e73ef4cea2e90,0x23d904292eda12e1af549f115530f20357d055c43b1f349e669efe43d3c3e300,6,74074073
74990825,0xdd8a4f07f6b47451dc6734eb81c58acdf23d8db807081d409087306cde731fb5,466,0xb13d096b2e90411d0e5f42891d2e73ef4cea2e90,0x6a2eeddfe94cdb72bb5b9584604ebab0746242af1cdeff15a4fe1a0dedd9b000,6,82668402
74990825,0xdd8a4f07f6b47451dc6734eb81c58acdf23d8db807081d409087306cde731fb5,475,0xb13d096b2e90411d0e5f42891d2e73ef4cea2e90,0xc0519374f3bab912cf21f8bdf511657c5db230062a3550eebe85f5eb93217700,6,53000000
74990825,0xdd8a4f07f6b47451dc6734eb81c58acdf23d8db807081d409087306cde731fb5,484,0xb13d096b2e90411d0e5f42891d2e73ef4cea2e90,0x45927068fb8871457cfd4eb65eed17f36a933f32350e41fe752f28143d52a500,6,77130000
74990825,0xdd8a4f07f6b47451dc6734eb81c58acdf23d8db807081d409087306cde731fb5,493,0xb13d096b2e90411d0e5f42891d2e73ef4cea2e90,0x3851180574abf8fd3cbd2daa0528575a689924eb185a0444a57137c801d86d00,6,50997658
74991108,0xda5a41f01775b0aea1c3ccfe33f3cb4018c76bd2c277c9aaf9c70ed06ffff390,515,0x6a72dfe9e6c4cdb3c7ce3bc2b20a67788c66f81d,0x07a6d1e91364e2625ad1f12fe8360e2cb3dcc995cddc7f277e6622cd804e5c00,223,100000000
74991148,0x32224d3040e50f0ec7c707d22a0dcd495add0d568b5072f0d9b108786d59e6df,708,0x7740253843b20007a4c99c3766878351002acbcd,0x51a3b9f29275310adfa309e776ed7a398ac0e5f05d02a3f42fd1e5fe6043e000,72,113464829
