block_number,tx_hash,log_index,stakeholder,collateralToken,parentCollectionId,conditionId,partition,amount
74999002,0x3fcf7537bdd1d89199ec92cd83e99e422a7944d5ea7e5d0e93f960a13a6f72d3,338,0xd91e80cf2e7be2e162c6513ced06f1dd0da35296,0x3a3bd7bb9528e159577f7c2e685cc81a765002e2,0x0000000000000000000000000000000000000000000000000000000000000000,0x02dc46f4354c1cc447577db82ba62cca1bda737bd67b73fe966ce1bfe580868f,"[1, 2]",500000000
74999008,0xd313b79904f4238d57f55ad70651f74aa86476c11d83e3040e8e3321ff7749d1,548,0x3d2d66eb933cfa7aa7b9fc21e6614f080de99360,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x687a560d75e106303717a92786946084419ecba08e442ec8e6af07e949e6a5af,"[2, 1]",31129031
74999009,0x3201b6f4be53dbcd6c041c6bec4cf810363ece2e40057d338eeffd16449e4f3b,395,0xb563eb0184543459596fd1011d013b7451600115,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x97fa80196ac9adb239723493b394da33a3df73a30814bf6e3b9a8fe785341a5d,"[2, 1]",122992500
74999011,0xa315b978dc967b64c25f620453ebc76a2721ddc17b4f4551f6c2e726abc1afd6,502,0xd91e80cf2e7be2e162c6513ced06f1dd0da35296,0x3a3bd7bb9528e159577f7c2e685cc81a765002e2,0x0000000000000000000000000000000000000000000000000000000000000000,0x7ad403c3508f8e3912940fd1a913f227591145ca0614074208e0b962d5fcc422,"[1, 2]",11830000
74999017,0x0d761a0cd38e1f8916a2426a904ccbb19c1211f1c2ca0b2136e62fa9fb644073,264,0x3d2d66eb933cfa7aa7b9fc21e6614f080de99360,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x687a560d75e106303717a92786946084419ecba08e442ec8e6af07e949e6a5af,"[2, 1]",29999996
74999018,0xc774d74a687c412f3e49767d1a0bfca6f5d16d590a76d7d275f0c6793bfa8a5c,406,0xb563eb0184543459596fd1011d013b7451600115,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x97fa80196ac9adb239723493b394da33a3df73a30814bf6e3b9a8fe785341a5d,"[1, 2]",138008040
74999022,0x489bf91b835d099afe7711b2720fc3ac9e17729992fbe0ecc6ec0d55a1c0938a,273,0xb563eb0184543459596fd1011d013b7451600115,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x687a560d75e106303717a92786946084419ecba08e442ec8e6af07e949e6a5af,"[1, 2]",101000000
74999025,0xd5482e427debdc1d952366fa2c3240a0cf725ae838213ec3be789de0b69bdcc7,426,0x3d2d66eb933cfa7aa7b9fc21e6614f080de99360,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x97fa80196ac9adb239723493b394da33a3df73a30814bf6e3b9a8fe785341a5d,"[2, 1]",1282050
74999029,0x3f6135dce7fef66aefd20901e18310285f62082104527b12e66d6dd32dedd07c,353,0x3d2d66eb933cfa7aa7b9fc21e6614f080de99360,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x687a560d75e106303717a92786946084419ecba08e442ec8e6af07e949e6a5af,"[2, 1]",5800000
74999031,0xa92fdbc37a32718549393b306e8ba1e67647de6978b7b7607b396f1f14bc29f0,467,0xb563eb0184543459596fd1011d013b7451600115,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x687a560d75e106303717a92786946084419ecba08e442ec8e6af07e949e6a5af,"[2, 1]",126129207
74999036,0xe18c4a30d1fbd40f408c6572a9b3205c3a10502a81155d42f9e9f492b257e198,314,0xb563eb0184543459596fd1011d013b7451600115,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x97fa80196ac9adb239723493b394da33a3df73a30814bf6e3b9a8fe785341a5d,"[1, 2]",3000000
74999038,0x65ba1907dfd2a73c34680c81c1954edc7df23682a50c27deb61db49a515b7343,347,0x3d2d66eb933cfa7aa7b9fc21e6614f080de99360,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x687a560d75e106303717a92786946084419ecba08e442ec8e6af07e949e6a5af,"[1, 2]",212962274
