block_number,tx_hash,log_index,operator,from,to,id,value
74990000,0x9df04a4d2a4a2b50c3c6446ddcfb284394bb11ce2dd2ba610597c60c34e5b272,924,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0xc97044fae49b20c6115defa88baee804e6420666,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,73194341085998761151804156906976662555817765200359237094352249192842869611654,50000000
74990000,0x9df04a4d2a4a2b50c3c6446ddcfb284394bb11ce2dd2ba610597c60c34e5b272,927,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2c41d0ca2b4b2344912eead711f28cd4dcff133e,73194341085998761151804156906976662555817765200359237094352249192842869611654,50000000
74990000,0x19918650ac89cc4d5bdd1373310f86a0248e87bb43e721ad01331507b8f0f95f,933,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x5d6c88265c15281d4d655cb95c74d443b1c97ecc,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,19701256321759583954581192053894521654935987478209343000964756587964612528044,20360000
74990000,0x19918650ac89cc4d5bdd1373310f86a0248e87bb43e721ad01331507b8f0f95f,934,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x0dfae545cadcc4d31c29a743ecb67f6af4c0c0e3,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,111217145027231733281098283820392455841371994535884663355944422820240423500204,20360000
74990000,0x77b1b93e716fb9c751ac19d745451578997077a6cdd2c81bf7290fba6ac91f00,946,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x4a38e6e0330c2463fb5ac2188a620634039abfe8,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,64148310329753993625322897885100185496018247028920405697092604654838731860648,207612455
74990000,0x77b1b93e716fb9c751ac19d745451578997077a6cdd2c81bf7290fba6ac91f00,949,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0xadb7cd183a5ffaa80407bb95f232e4a573182983,64148310329753993625322897885100185496018247028920405697092604654838731860648,207612455
74990000,0x55679c1d6eaf89ed50ac3a759f7df8c866736ce35a8146bd9c1f41802a14caa0,961,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x3c04e10977cf7585e99369e4c2dac04262bf3bb2,33538269346367082531811581882164613624398355502873703000600625463114260324470,2352940
74990000,0x55679c1d6eaf89ed50ac3a759f7df8c866736ce35a8146bd9c1f41802a14caa0,963,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x4aa13462a40d3477a1c11748f52c11e2a4a574f9,69971608369823879925312121985925443181621746284768809347300855640187943298522,2352940
74990000,0xeab66161aff4746c1704a6eca02e9e9d5681754f050956bd5f645a303f17d255,967,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x87cf6b764c7e1d7d9d85c88c485bdf0be55294f9,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,19701256321759583954581192053894521654935987478209343000964756587964612528044,22060000
74990000,0xeab66161aff4746c1704a6eca02e9e9d5681754f050956bd5f645a303f17d255,968,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x0dfae545cadcc4d31c29a743ecb67f6af4c0c0e3,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,111217145027231733281098283820392455841371994535884663355944422820240423500204,22060000
