block_number,tx_hash,log_index,conditionId,oracle,questionId,outcomeSlotCount
74990342,0x0bb66ab282fa31f693d52c71e90104a01ca986fcc8e54a4624bdec75a76bf2f4,31,0xecd23cc5edd1adbdd02ff2c3353c3e0753458e14c27311afab2bd37d2049564a,0x157ce2d672854c848c9b79c49a8cc6cc89176a49,0xad64e354b2e2ff9f4a06503fe3b2eaf0481af431189f827d3a8820bfee8b04ec,2
74990399,0xdd90fbf307551155ba6efb5731be521ea5a66b41da9d7d29612b99fd1c034eb8,0,0xb904b61468e2f7e704c34a58067838e82d9ab20090ff637ee76d30bf2a7ccd73,0x157ce2d672854c848c9b79c49a8cc6cc89176a49,0x0963e8fe6085d4523d3539b60178e52b4ce795fc302ee0f60dda144b5669e0d2,2
74990416,0xe72ef43cb37e0ec8397303e2a1695c91d63e77445742c99b1a050892fde4f9d1,1082,0xfd77498cd4284748efd01f6e54c735d4fda1bb6ec902c2372be59e5962cd989c,0x58e1745bedda7312c4cddb72618923da1b90efde,0x0d8b9a7234cf6efdbdf7c3534068e35e224cd791ad9fd7f3f1abab9d2280334a,2
74990417,0x14802e386a4dec26f662fda5ea03298e6eb4f270e55b327f6c76b72ec150d3a8,742,0x1b7bcfdff7d837d50a1f4735866f61a2c80d374e462e7505e18ea559dca2d72e,0x58e1745bedda7312c4cddb72618923da1b90efde,0x5dda81a4a7603c64125c867275ca58b75764260b5d586cdac2174038b16e47b6,2
74990455,0x67608a991a2430b02876d9bd3e97c88ce3ab6b12688f6e06896f09fdfd950dee,21,0x07151c3191ad484662497ef1b3efc9fc49f8625203bab6c12aa58eb7763b4dc3,0x157ce2d672854c848c9b79c49a8cc6cc89176a49,0x73a50acd43bd8f931b6ba852b439fe1aac5e92acd186902afee23a86fcd81ef2,2
74990502,0x792f620771b4f1116087ba6b532e6d30d382fc1bfd5f09530d7381e80e123aa1,3,0x8fc56b84eb07a509075a2695962cfc6ab941122b4a519ffc1de4d0fee604ce76,0x157ce2d672854c848c9b79c49a8cc6cc89176a49,0xdc6b2609382f80b1ee824be046494a35f44e84f0598380e7ecdc4b0618584eb0,2
74990588,0xbece977f80c2febceeab80b301296e6ba86a6bd5129af50e07dc8dcff9e37148,2,0xde090c227b75afa1436568b3acb22af63f8a6fc206e2b57521360cfff39ad23d,0x157ce2d672854c848c9b79c49a8cc6cc89176a49,0xee7ecc833381988a4fa1a7d1e56817e989e60ff7b458ced37af2f92ad2b80da3,2
74990607,0x3c84a95af03724c090865bacdb54f7ee4114fee5101e7ff687a3e824b9d3c8ef,0,0x836717ce111bb7b56fbce042584e566d67cc529dc6b6b0d9b60225b4be90fbca,0x157ce2d672854c848c9b79c49a8cc6cc89176a49,0x26f042e9b65f9be4d2f36d12bdc076340eb0b34151d14e614ba7107601d37b98,2
74990728,0x2485e9639bccd2e6f19e7131088588c43b86dc8a59812ff1e1b9d8419f3586fb,2,0x95f6e0909f101c3cc4b664a6363b118ee77c302e868f58815493e05bc3cca911,0x157ce2d672854c848c9b79c49a8cc6cc89176a49,0x43b93813b992270b6a09bfd01c95a9ca315ef2acdfecc966fee9ec3f0fd619ce,2
74990776,0x1144e2bb45ea637b0539c25a4ab68484b04ca716453cfb1d3435c8485089db7a,19,0x0b74c7e76678a1656b14cfe802e602380b07e60d0aab2cb7219a31140a365368,0x157ce2d672854c848c9b79c49a8cc6cc89176a49,0xd98502dd73b441c40ffc3a85debb68cff4e864edc8fe53039411024804dff67c,2
74990839,0x26f5896b3d9dfe640d6508eec321a0b4befc673cc77ac0fe5ccf9e896447c256,691,0x68577fdbe7df5b90aca70badcc64631aafcbc8c05c01e9b8988f144f2e3f86d5,0x58e1745bedda7312c4cddb72618923da1b90efde,0x64ac76a54353151bee435f2afb3396db0f5f33ec3090ea3538dd3833d416131c,2
74990841,0xbcae219b22e758ffe655e4e3c6d53e5f7b89756b0a85f7e33eb8414ad164e202,555,0x2f2ed915b4fa99101c4a6d5d4bfa9d561a1603fdb009725ff0abcdeac77e5857,0x58e1745bedda7312c4cddb72618923da1b90efde,0x62fd7ac76f148e939fd0195b781b7b723fd5571fb1158af950e46eb9ef5de4c7,2
74991092,0x593310e3608954e96b641f138e17396af9e2d29671525325b9642654db7c79b3,230,0x697acab1fa9a46616f577304e6ad5643abe7af2d64f80e68656def303da1da7a,0x1754f0f64de768f3c7c5f9335ff1129db2c14a40,0xf6ce93b163bd106a35c80023914485b020741b1dc286180e4406f26ed5f67ae1,2
74991263,0xb458db21728ecdf4a6e2b38ac72582f07714f7868238da68f4db489399618c3e,890,0xde33eaf2ea99cfc4a472fc8e7a6e316559fcb64defdfab14d9144948014a2456,0x58e1745bedda7312c4cddb72618923da1b90efde,0xd24ef4ea19a772c419324b39bdff735c1c0fb50ca0fa37153db7a90f6f6c10e4,2
74991264,0xc5650efb47aff5e5d1c518a29cc311084c0bf56b65662e5908d2f4a1dce9f0d5,1141,0x5ca7c8c2fb6462c15a59e19d87a5efd9dc317ef4ce331665bda8f7dd810c0ed6,0x58e1745bedda7312c4cddb72618923da1b90efde,0x5d2a65f599b5a8bb5b1bf13c565dc764820c533660b8bbe9477f26680c900c01,2
74991686,0xb6e2aa10295732eae3014dd6ddc2b3638b27546e521ad2a2608cc0a079412a84,530,0x687146d2bf6c29ad84b1acb4e83b16cab18ea89446227aa590e2cf6ec677c1cf,0x58e1745bedda7312c4cddb72618923da1b90efde,0x94a8e16c33e05da920a558eed65b494284e2a8f9b992862446e8c90677f6410b,2
