block_number,tx_hash,log_index,fpmm,funder,amountsRemoved,collateralRemovedFromFeePool,sharesBurnt
15990063,0xb5aa2752d1259522b0f41e7905d9b53d05a5519e64d0b33526015ac152058bb1,252,0xc33cb94861d63c47fdab2419f82ba54aff667540,0x29f638b0d084a7a54200dcb0ee5ffdcd12b9906b,"[999999999, 311684005]",0,558286648
15990111,0x64b9843e119dcc09b856065440b65023287181de4633dc92d35ff37b5d6d1bab,341,0x514e63f5cc8a03d4afcef8c67770ec733409171d,0x57d25e392c86e901ed50e574fe607f4a60b29992,"[589814516, 98679805]",135293,241252518
15990154,0xf6800fc81e4ea4974b284f94243d86580e757a7fab29fe1fa1a0e5ce9366c946,485,0x2690000e40f746dad3157f95848cecbe5857dd5b,0x1ff2f3c12db9618337fa32079b89b2f550174702,"[3999999996, 223280234]",0,945050718
15990257,0x24f41d233288a650387e9e9278c2ce9305878341ab5c62205199073c78ca0e97,631,0x2690000e40f746dad3157f95848cecbe5857dd5b,0x1ff2f3c12db9618337fa32079b89b2f550174702,"[3999999999, 212782475]",0,922566976
15990435,0xee1059689ecb0add6a5967f73acb282debb1a514adff61779c3a1eeb358d8b9e,597,0xea4755343d9fcf8583b80e896c2583ffc1b70611,0x29f638b0d084a7a54200dcb0ee5ffdcd12b9906b,"[999999997, 266163153]",0,515910009
15990625,0x899fdbbb18352cc777cacd02ebc0fe4ab085031c1d8e6d1c08bf9a5cdcf86ac8,262,0x9036e8c496dae179d844dd007bcb65c2f01fb811,0x45e3a5d7ab861b71994c6d28b47ce41804055856,"[168627134, 9409371]",389918,39833093
15990651,0x74e1cb64b138d5fff52df71af611537da3cbd1ca15a956ff6d0a2266e29f5b8d,169,0xe25fc2faa77cb4ec7312466fcc104edb02596831,0xe834edad3c89e41243c796d37f262541d65f6da5,"[188684027, 299999999]",0,237918484
15990796,0x7a5ad086a2a01553e338a90307c1e47f6d097debbea97e0a578a6f6807a1fa1e,315,0x375beafdbd211c932c70613253554df9f7601eb7,0x29f638b0d084a7a54200dcb0ee5ffdcd12b9906b,"[199999998, 39601231]",0,62929507
15991034,0x0739a60b4975fcf250bfc1f691121e1181e8d1dc6501fec8dc5290474903295c,143,0xe25fc2faa77cb4ec7312466fcc104edb02596831,0xe834edad3c89e41243c796d37f262541d65f6da5,"[190098957, 299999999]",1,238808886
15991151,0xf96050cb6acb48cf58b9c9aa06ab8ec032ffc0911d117c4839d6b2c70f949318,179,0xc33cb94861d63c47fdab2419f82ba54aff667540,0xe834edad3c89e41243c796d37f262541d65f6da5,"[536624875, 7471301]",10945,63318916
15991181,0x1bd2ff71e81dea1cb17a0bff5da96792044d0db6103aa946069da5a36b055e82,256,0x4568e4dc02ab786893f3f97c16e31faa836c8958,0xd0d20e8edcd2d7f45bafd3a5e9a8666daf7785ab,"[2209450850, 1819184410]",17102588,2004843658
15991237,0x20f0200331a1293d691cfcde318058521a96b0df1f6a7fc12708ac61d0a4e6ba,122,0xeece486cb81a7e2aa231e76dc7b7972a1b81e98c,0xe834edad3c89e41243c796d37f262541d65f6da5,"[30252404, 4999999982]",0,388924150
15991272,0xb64506b33808976b8dd8c5dc6a808b581613de6f4b1ecc2847b30c88ba6dc115,124,0xeece486cb81a7e2aa231e76dc7b7972a1b81e98c,0xe834edad3c89e41243c796d37f262541d65f6da5,"[20219121, 4999999995]",0,317955326
15991278,0xdd7d5b2edf84735f77085c8dd8ae2abf87c93db4cc0d04235e9fb9f3242f5dd6,205,0xeece486cb81a7e2aa231e76dc7b7972a1b81e98c,0x29f638b0d084a7a54200dcb0ee5ffdcd12b9906b,"[36394418, 8999999978]",0,572319586
15991312,0x1499d871ce2ced64d92012b9411a46837a389566bf615929073389da054f17c7,98,0xeece486cb81a7e2aa231e76dc7b7972a1b81e98c,0x63f8eb9f5f902f6637f75f10fc185e77b0f660ac,"[572341, 249999981]",0,11961829
15991321,0xbc0124cbba947ffb88361ebc1e413efe6cb562f404b0ba8f35ae40173ed62810,85,0xeece486cb81a7e2aa231e76dc7b7972a1b81e98c,0x29f638b0d084a7a54200dcb0ee5ffdcd12b9906b,"[41333589, 21421222579]",73782,940965386
15991408,0x7580ff56e68605c5978392506706d3ed2d83f67cf27db7bf7e8c08739a7f230a,173,0xe25fc2faa77cb4ec7312466fcc104edb02596831,0xe834edad3c89e41243c796d37f262541d65f6da5,"[187856660, 300065831]",1343,237422328
15991414,0x953abf1b54d0001d9afdf20d9e3ccd6d10d6cbef13d29d215212cc5e13087aa5,114,0xea4755343d9fcf8583b80e896c2583ffc1b70611,0x29f638b0d084a7a54200dcb0ee5ffdcd12b9906b,"[999999989, 2952558]",0,54337442
15991586,0x7d2368f5ad19f816b666de9626738863bd0852d8bc15eb5afb21f212c7e3dad2,116,0xeece486cb81a7e2aa231e76dc7b7972a1b81e98c,0x52b778f39b2f97aa3f826dc53e7ac48a10535bf9,"[201210, 249999988]",0,7092436
15991593,0x3a77b936dbc561cbdfd36824e6c77f364c253c9b474262e1f4e528361f608b95,361,0x2690000e40f746dad3157f95848cecbe5857dd5b,0xaaf4acafbb7980ce93631d238eb10a5c4ca67883,"[1704713952, 93857397]",84571881,400000000
15991774,0x91fdd328b0edc00268b66ee02020d7a925712fa097d5cb6b2a87582897447a9c,525,0xd1278ee91633a063e24681bc728223a1a70dac03,0xb5fc4d5388952dc7a798fe784fe659f9a20e5ca4,"[163282906, 2286738833]",21507459,611052656
15991862,0x10a7cbe5e77c9f92b723fa15ab33e5f0c98318bcde178318391c605f594e53c2,250,0x16d56545ac8b949cc2a90c5540682174fae9bbfd,0x932e564acc849074725204b8925ecdd41ec06903,"[27829316, 99999999]",0,52753498
15992087,0x2f75758fa58b16e25546153f91ea7059f02ebec60f786f94c1777e273446adc6,247,0xcb513d589d3e3b463788fb2b764b7d5cd3aaaf3d,0x17d52f570a5ffbe528270700aee3634bc23396db,"[2511421206, 382726311]",3894803,980400825
15992462,0xa51c99c8e971862579afb77fe55dab35402a2d80018214bc2e01166b69b64370,473,0x907a2cf154e58c78433a46fc8b897fdcad230ea7,0x1d330b1a2d9b29937121c912f39b45952ae891ad,"[389654210, 7088342]",0,52554752
15992985,0x46bebf320dcd9cc1312b256bf46155d630cfa1272553fff9d66a6b2e66b70fd2,291,0xd1278ee91633a063e24681bc728223a1a70dac03,0xb5fc4d5388952dc7a798fe784fe659f9a20e5ca4,"[534435028, 7484539655]",70,2000000000
