block_number,tx_hash,log_index,exchange,orderHash,maker,taker,makerAssetId,takerAssetId,makerAmountFilled,takerAmountFilled,fee
74999000,0x00baa7b9ecc8571dad0dd74bbc3452ef6a4df4f630f0500428ccac17bf66179a,330,CTFExchange,0xc892ad9d2a3cc7dc246abd8a86190f90e13d17664026cd222ae2b18b1c8931a0,0x35babd5d42a0d28341fe70e1714253ed370f9cdf,0xf2fd22084c260a01adeefb1e23921333b00a4ec0,0,72213402545998769711123636766651921655153165755936317649722665600548281920234,5500000,10000000,0
74999000,0x00baa7b9ecc8571dad0dd74bbc3452ef6a4df4f630f0500428ccac17bf66179a,332,CTFExchange,0xd4772604cfe8f76fb97c5c54eb052899a999c9cf3b0f5cc64782e1eb71902fc2,0xf2fd22084c260a01adeefb1e23921333b00a4ec0,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,72213402545998769711123636766651921655153165755936317649722665600548281920234,0,10000000,5500000,0
74999000,0x2540a44237b79fdfb63947f91cdc197b3e18104abb0365235b1af02db11d68d3,344,CTFExchange,0x5063a2f75167e31e0776355a7e75f77dfcae2b062c3d0e5de3a226346808c1cb,0x28a3cb66d84115834950b9f34dd78fd4cf5c79f9,0x14a056c698f46d181d1e650e7a7a0f7d1d8a22bb,0,45268984206528684008656138445174696487413496817965370072225934538822928904287,67500000,90000000,0
74999000,0x2540a44237b79fdfb63947f91cdc197b3e18104abb0365235b1af02db11d68d3,346,CTFExchange,0x69960e95596e1ee1d5205806c1a98de1576586fa7f4b86166507a784b5b426c0,0x14a056c698f46d181d1e650e7a7a0f7d1d8a22bb,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,113978805798102557265452348965535499887600425153284104746797977930434676866992,22500000,90000000,0
74999000,0x0454434780ecc574d73c7765ce283fc72ce9be63ccf5c7b0ac78fc74531e907c,353,CTFExchange,0x9319001bc2a0b13cbd9178ad9038e39d1c74b4149680a41835bb22cd59ca5211,0xecbeba24a9e7d8fc3091db367f2578e911ac42ff,0x3bed3e9877d3a328906cd5ac1884236003624eb5,0,46779277213599126230120558346857483305790254031083044485517146560119899542406,1473600,147360000,0
74999000,0x0454434780ecc574d73c7765ce283fc72ce9be63ccf5c7b0ac78fc74531e907c,355,CTFExchange,0x54916fd2ef48b03816a2857f2edfe84aeb5fee968331afef76780d7cd84d5172,0x3bed3e9877d3a328906cd5ac1884236003624eb5,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,46779277213599126230120558346857483305790254031083044485517146560119899542406,0,147360000,1473600,0
74999001,0xeedc542fa7c2a8b95d83663f953fcee1ac11dda5e34e831c8c22f7492f3aa3d3,447,CTFExchange,0x575509856d2f5f64281e2dfaceca0ffcfd60c42e893c010db14db46b49048289,0x5734bf186e38cf8b361c90e02aa6d56d28c2f13a,0x5fa594afd333b52a30fdbfa156f76b894481b2f6,0,7997695352317515524525062962990406756331391485123047293096327700752767906309,660080,740000,0
74999001,0xeedc542fa7c2a8b95d83663f953fcee1ac11dda5e34e831c8c22f7492f3aa3d3,450,CTFExchange,0x2c53503fa5c5035456f1d7422ef742f371123c53cb9fb4b7e57982d3a4a898f2,0x3078db4a9737866b4d6529f655025b3a20f80389,0x5fa594afd333b52a30fdbfa156f76b894481b2f6,110231926589098351804293174455681788984678095258631881563984268486591441074567,0,36880000,3983040,0
74999001,0xeedc542fa7c2a8b95d83663f953fcee1ac11dda5e34e831c8c22f7492f3aa3d3,453,CTFExchange,0x39ef13246dbcbb2404cf93466fa846d25118b630485826a585cb22e0d257f9fd,0x3078db4a9737866b4d6529f655025b3a20f80389,0x5fa594afd333b52a30fdbfa156f76b894481b2f6,110231926589098351804293174455681788984678095258631881563984268486591441074567,0,36880000,3983040,0
74999001,0xeedc542fa7c2a8b95d83663f953fcee1ac11dda5e34e831c8c22f7492f3aa3d3,461,CTFExchange,0xb6933702a92d30c0f582bd326a21ee228c8d6a136ff24733c3345b6a38c49a8c,0xe1e75b51779e5f65ac4c5375c846e256082d12fe,0x5fa594afd333b52a30fdbfa156f76b894481b2f6,0,7997695352317515524525062962990406756331391485123047293096327700752767906309,15972605,17926604,0
74999001,0xeedc542fa7c2a8b95d83663f953fcee1ac11dda5e34e831c8c22f7492f3aa3d3,463,CTFExchange,0x670336e5572b78572776d2a2cb177d523e806d87a2011d35517f6ad551545590,0x5fa594afd333b52a30fdbfa156f76b894481b2f6,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,110231926589098351804293174455681788984678095258631881563984268486591441074567,9999999,92426604,0
74999001,0x4d8657461ea0cb5b1b82eaf6623002a2836859729851e4c194c9ff0705f8885c,470,CTFExchange,0x5dc93cd1abef0364d8c980e27c8dbeb2bf880b8f05149dfca9e85542d6899a95,0x35babd5d42a0d28341fe70e1714253ed370f9cdf,0x32526c1de010a670eed9a5fbddacccb551c17830,0,72213402545998769711123636766651921655153165755936317649722665600548281920234,5600000,10000000,0
74999001,0x4d8657461ea0cb5b1b82eaf6623002a2836859729851e4c194c9ff0705f8885c,472,CTFExchange,0x54577caef0f69c40a2cfac9b1b30c3cdfdda700a49d2b58eac3368341166047c,0x32526c1de010a670eed9a5fbddacccb551c17830,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,72213402545998769711123636766651921655153165755936317649722665600548281920234,0,10000000,5600000,0
74999001,0x16352de4b7b1074942bc88c916b4250d0e92df43b9ba049454a2f9f8ac046851,484,CTFExchange,0x9319001bc2a0b13cbd9178ad9038e39d1c74b4149680a41835bb22cd59ca5211,0xecbeba24a9e7d8fc3091db367f2578e911ac42ff,0x90b6a428d636ee98b22973f3c74b250993391d6b,0,46779277213599126230120558346857483305790254031083044485517146560119899542406,715100,71510000,0
74999001,0x16352de4b7b1074942bc88c916b4250d0e92df43b9ba049454a2f9f8ac046851,492,CTFExchange,0xf895d45dde0d7b5019de9b5b632d576844714ef8bf5f81710d01a7db0c1d9652,0x9701e5ea50aff559b5a7245e8ffa57af140da7ee,0x90b6a428d636ee98b22973f3c74b250993391d6b,0,46779277213599126230120558346857483305790254031083044485517146560119899542406,50000,5000000,0
74999001,0x16352de4b7b1074942bc88c916b4250d0e92df43b9ba049454a2f9f8ac046851,500,CTFExchange,0x2ed173d47cfa3ad795f19a90f498f9c2a9560f18aef990ee1bd2bd8fce5adc32,0xa3daab18a36ca9915f6544f42766694e771f3d6a,0x90b6a428d636ee98b22973f3c74b250993391d6b,0,46779277213599126230120558346857483305790254031083044485517146560119899542406,234900,23490000,0
74999001,0x16352de4b7b1074942bc88c916b4250d0e92df43b9ba049454a2f9f8ac046851,502,CTFExchange,0xd93e2e7379121a481919cd3b0093884348ca7560397f46dd694c93a88c124a8f,0x90b6a428d636ee98b22973f3c74b250993391d6b,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,62055740682863142512173337338290591221935166579033473435319717410248279647733,99000000,100000000,0
74999001,0x1dd7a43aac92bcbb97153a499c760f216a0ecf3970d26ed3fe8b1be3d8a53bbf,514,CTFExchange,0x2ed173d47cfa3ad795f19a90f498f9c2a9560f18aef990ee1bd2bd8fce5adc32,0xa3daab18a36ca9915f6544f42766694e771f3d6a,0x5086b3d3f90903edf4c100f7f3575a00fe309d2e,0,46779277213599126230120558346857483305790254031083044485517146560119899542406,293939,29393900,0
74999001,0x1dd7a43aac92bcbb97153a499c760f216a0ecf3970d26ed3fe8b1be3d8a53bbf,516,CTFExchange,0xe0b2825a9237eb2daf9515b38aed4e1d92e1e07868c37ab2758dce35e50705f3,0x5086b3d3f90903edf4c100f7f3575a00fe309d2e,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,62055740682863142512173337338290591221935166579033473435319717410248279647733,29099961,29393900,0
74999001,0x253b36145137cd3c4343cbd85207362135a17cbab13eed2841aef1036410012f,528,CTFExchange,0xebb6ff0ef8dea0f8dc991ae39fc30e0a9ee4f8686166f8d44cfd9e05398509c4,0xb563eb0184543459596fd1011d013b7451600115,0x9155e8cf81a3fb557639d23d43f1528675bcfcad,0,28904563994230344358126139632761289592940428766951866808651602602082941677787,3900000,10000000,0
