block_number,tx_hash,log_index,redeemer,collateralToken,parentCollectionId,conditionId,indexSets,payout
74990001,0x035064a4865ed678c7586dc7ded737baf9ef61005e86085a023b9126174ae798,586,0x8b31ef7156b778eb006dbeadbafc218859936a30,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x40c530b710c167266e999de97d853583fc5045f13d89c17119b1b0f873ab52a8,"[1, 2]",20000000
74990009,0x7a35b10f528cb2b0a6a78843281caaf65d77cdb4dee788a7a50a98e64f57b837,472,0xe1b361d6a6f237b9ed7534d19b232df8369e1426,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x28dfa5671e7658d453b2148e3be071cf32e5d161092c7cbae4c9fbd15a75d013,"[1, 2]",65000000
74990010,0x477ad8696ad9171583cdb47b5ebf657ff3f80ac00373fd1c89da7f5d127c05f7,366,0x7d8a547ecae47a031ea46fff45876e400c28217a,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x73e0ca474600c936fd0aa307305e99a4cbabcab532297e7d1972600b1af4376e,"[1, 2]",1387862143
74990011,0xb88e93f3b691bbb8ca5b377bf28b68ad21d9b6ebd5f83a6c826c47d55b723a55,313,0x7d8a547ecae47a031ea46fff45876e400c28217a,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x73e0ca474600c936fd0aa307305e99a4cbabcab532297e7d1972600b1af4376e,"[1, 2]",0
74990011,0x7477571ab50774afc7017d4eaa60e8fb9c839cb3178dd92e064c6df3fd5ea6fd,527,0x35babd5d42a0d28341fe70e1714253ed370f9cdf,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x73c4a19ad564c33eb67371a37567c5c91d069b2d2d99939dff1fad591f0cd6e3,"[1, 2]",54280000
74990011,0x65b2fe5d72f701f1b1b958c8e1d56aae9e87da22127d00d7dc75ef4305687c62,529,0x35babd5d42a0d28341fe70e1714253ed370f9cdf,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x73c4a19ad564c33eb67371a37567c5c91d069b2d2d99939dff1fad591f0cd6e3,"[1, 2]",0
74990012,0x87a51673c590db053dea38545235706e6cb4c9b81820c21531ea10bf45ab714e,441,0x8d3eb8cf3c1ae59c2f133c376c6fa1e2d37b3099,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0xb713cbb0905b85e1f5dbdac93b5ea65e583b0645e56c2d0c8a0f535b055aa130,"[1, 2]",10000000
74990012,0x5c91329bdce4cf9dc1f5bae5f88d764c32b5720b1bc72a526259697e1f91c0e3,443,0x8d3eb8cf3c1ae59c2f133c376c6fa1e2d37b3099,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0xb713cbb0905b85e1f5dbdac93b5ea65e583b0645e56c2d0c8a0f535b055aa130,"[1, 2]",0
74990012,0xafe171d55736f819c264e01de8a0b36ad13b6b60672727b8bb698dbfbea186cb,448,0xe7e172584937b668b8b5cc8a8c8ff535a1ccee3d,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x7409d2ce359c2f8b79ae23bddddeaba3c7503d6d05dadecedaa451ae684dc577,"[1, 2]",788000000
74990013,0x20490345502283e6e77e49c555c1dbfdaae3e2623e30076e21ff9a8352225c1e,327,0xe7e172584937b668b8b5cc8a8c8ff535a1ccee3d,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x7409d2ce359c2f8b79ae23bddddeaba3c7503d6d05dadecedaa451ae684dc577,"[1, 2]",0
74990021,0x03a3d0fda2f75318d01352b4edc7fa93b599dec13eeee7d34f25c6b6d8860e28,432,0xd91e80cf2e7be2e162c6513ced06f1dd0da35296,0x3a3bd7bb9528e159577f7c2e685cc81a765002e2,0x0000000000000000000000000000000000000000000000000000000000000000,0x0d09f8cb4ac601074c02828328a893fdab030ece3ca682faaef89d82c43daec2,"[1, 2]",4750491537
74990024,0xe4865decce291e81cb833c350a11fa17025e3ca4c115dc25f98dc79145ff43f1,595,0xd189664c5308903476f9f079820431e4fd7d06f4,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0xab2dbffb826d187f977be675d954a12138c2a4153f47b485a8ebc30c12dc0dca,"[1, 2]",8656740000
74990027,0x544bb374df62b16ff270a16c6494282921b9b3a7e8e809fa7a5400c4d6d3ee9d,448,0x919a39bd635ebe7c1df894ee2a8c4a79016e1dd7,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0xeb3db705d08dbee712ce8d7380250f6794c7fd008c07572bda1312ccb9968db7,"[1, 2]",30770000
74990027,0x544bb374df62b16ff270a16c6494282921b9b3a7e8e809fa7a5400c4d6d3ee9d,451,0x919a39bd635ebe7c1df894ee2a8c4a79016e1dd7,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0xd07046a4f6ab91fc2021bfde4ef473dfa0e3dd463592e7bf0389d0353c9beb8b,"[1, 2]",24290000
74990027,0x544bb374df62b16ff270a16c6494282921b9b3a7e8e809fa7a5400c4d6d3ee9d,454,0x919a39bd635ebe7c1df894ee2a8c4a79016e1dd7,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x9ead81de26747dd478375ab5e075cb0cb81528cd63e10437768370e9d0035a36,"[1, 2]",18000000
74990027,0x3b5abf782ab5ad3e626bd5bb99be472cd13087496f082e0856f93c5aef5259c7,468,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x1cce3e217d5589ccd57d55ec8a28d0395df7223db54d71da7169496ed4118630,"[1, 2]",200000000
74990033,0x6716b97075921cb23bd1ef3b3d9c8fc396ef44a77b614f76613b35ffc5b7b3bb,339,0x3e774311e792529386895cb289eb1b3e9e67cb47,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0xab2dbffb826d187f977be675d954a12138c2a4153f47b485a8ebc30c12dc0dca,"[1, 2]",1199663332
