block_number,tx_hash,log_index,stakeholder,collateralToken,parentCollectionId,conditionId,partition,amount
74990000,0x19918650ac89cc4d5bdd1373310f86a0248e87bb43e721ad01331507b8f0f95f,937,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x236ffa98d07ed71a9cd54488b3ecbdd1f37a1fda08c7165c4e664236cd76de03,"[1, 2]",20360000
74990000,0xeab66161aff4746c1704a6eca02e9e9d5681754f050956bd5f645a303f17d255,971,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x236ffa98d07ed71a9cd54488b3ecbdd1f37a1fda08c7165c4e664236cd76de03,"[1, 2]",22060000
74990001,0xb689f5cc8a5882d583c98cf6cd03fc23cd7e1d1d2279ec666b27dc4b4121e0d3,631,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x236ffa98d07ed71a9cd54488b3ecbdd1f37a1fda08c7165c4e664236cd76de03,"[1, 2]",21870000
74990003,0x14013ccafda62422583582878ffae7d549504638a828f70fe7eee84c8c03656b,1124,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x236ffa98d07ed71a9cd54488b3ecbdd1f37a1fda08c7165c4e664236cd76de03,"[1, 2]",20580000
74990004,0xf1557da8f16d4309025654c3e079992cd81b05fce5cf25ab853432c0520b0744,464,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x236ffa98d07ed71a9cd54488b3ecbdd1f37a1fda08c7165c4e664236cd76de03,"[1, 2]",21290000
74990005,0xe017f6e7ddf3a749cbf4778b02d319a2a75ecea41848a3e40a0b6a9bd711581c,641,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x236ffa98d07ed71a9cd54488b3ecbdd1f37a1fda08c7165c4e664236cd76de03,"[1, 2]",21850000
74990006,0xa8c3a2169751071517b2852526235aa6f47d34be362ae2763e43e279b394feca,274,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x236ffa98d07ed71a9cd54488b3ecbdd1f37a1fda08c7165c4e664236cd76de03,"[1, 2]",21450000
74990007,0x431f60a391d506c90505422ba591802cbeeea37211f3de2101fb25a2b1e2ca6d,384,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x236ffa98d07ed71a9cd54488b3ecbdd1f37a1fda08c7165c4e664236cd76de03,"[1, 2]",21220000
74990009,0x2678063bacde80753a7eb3afd3bb37d88ea8ecc689ddd9747098317a889a197e,463,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x236ffa98d07ed71a9cd54488b3ecbdd1f37a1fda08c7165c4e664236cd76de03,"[1, 2]",21890000
74990010,0xa9f4f7ef2683dde69df111ece7851d850ac7025f8c45c2e1de6d225906b6bfff,307,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x236ffa98d07ed71a9cd54488b3ecbdd1f37a1fda08c7165c4e664236cd76de03,"[1, 2]",20490000
74990012,0xad296479298efc8dbae83a53825a6d495f3a53ace84a8145318d17c715f07cc0,427,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x236ffa98d07ed71a9cd54488b3ecbdd1f37a1fda08c7165c4e664236cd76de03,"[1, 2]",21120000
74990013,0x82fdffbea0e0e278d3d64f0b80330c65400bd75da7cabe34ef4935d1e74a9ece,534,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x236ffa98d07ed71a9cd54488b3ecbdd1f37a1fda08c7165c4e664236cd76de03,"[1, 2]",21700000
74990014,0x243df50bf778fb7dfa59bc4f41d7b563465794bc49269a7a6c740dc0a871ff32,433,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x236ffa98d07ed71a9cd54488b3ecbdd1f37a1fda08c7165c4e664236cd76de03,"[1, 2]",21740000
74990015,0x7650383c8bcefc85a28b0a4b2770d3a105d372961a9ca96ef6f908bab0d08ea6,315,0xd91e80cf2e7be2e162c6513ced06f1dd0da35296,0x3a3bd7bb9528e159577f7c2e685cc81a765002e2,0x0000000000000000000000000000000000000000000000000000000000000000,0x300603cf45c00af47424fffe1a012708d7c8d5f9830c0365c3bbc2f5924cc67d,"[1, 2]",317310000
74990016,0x7e6b17dce5d14fb3d97435ba3cc1ffe19e87f7f357195f0a5362e48f11fc6ca5,823,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x236ffa98d07ed71a9cd54488b3ecbdd1f37a1fda08c7165c4e664236cd76de03,"[1, 2]",21900000
74990016,0xde5601561bdbc505378dc0627805aa93adfb5a0b2637befa0c26b9cb31b6600d,863,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x236ffa98d07ed71a9cd54488b3ecbdd1f37a1fda08c7165c4e664236cd76de03,"[1, 2]",20980000
74990017,0xb1aace222863428a3932c42e6ff0995cd5d9d572a4c2b591f54552996c59ac74,453,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x236ffa98d07ed71a9cd54488b3ecbdd1f37a1fda08c7165c4e664236cd76de03,"[1, 2]",21650000
74990018,0x49fddfcd1e712334ce212c3c5c93d34617a77c3c9b762708575d154362b70456,352,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x236ffa98d07ed71a9cd54488b3ecbdd1f37a1fda08c7165c4e664236cd76de03,"[1, 2]",20910000
74990023,0x8f4532d6e9fb7007ce4ed395ef19284812f691d3e3d2df770bbb06d6b44c71e5,585,0xd91e80cf2e7be2e162c6513ced06f1dd0da35296,0x3a3bd7bb9528e159577f7c2e685cc81a765002e2,0x0000000000000000000000000000000000000000000000000000000000000000,0x1073cc3483263763397b853cb095ac8451f7e26b5a94231b5973c14bf6e7a95a,"[1, 2]",6380000
74990024,0xa4295ee156982e4ce5d78b1b986ff395bb85e33138d53b9279df863992fbf418,589,0x5454b6cb0218303c13af41e8aef84e6bfe8b6318,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x080eea7aec02fe48e6d0c3c07b28601c9cb7da65aba2e67df9d240b0c766161d,"[1, 2]",219044482
74990028,0x50b4edea9d454bfcc24b3e3134860b5a521add75812d45904dc8edf87dbdf0d6,564,0xb563eb0184543459596fd1011d013b7451600115,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x54eea1eca602d7e38833156b0487419567ae205910a0371708f414f846c5984e,"[2, 1]",30303029
74990032,0x884ca888325e3d7efddc01b0d0e1c49511e35e79cc9c55059cfc761ce91a6e04,1202,0xd91e80cf2e7be2e162c6513ced06f1dd0da35296,0x3a3bd7bb9528e159577f7c2e685cc81a765002e2,0x0000000000000000000000000000000000000000000000000000000000000000,0xebfda84c91d3dafde3f49bd132aadc9e762b88023021806e7345cd526fc7e1fa,"[1, 2]",81000000
74990036,0xdce80836f2635f81e752a90dc72a21b38063c7cd7c726a47ed65a8b6e4149fb4,413,0x3d2d66eb933cfa7aa7b9fc21e6614f080de99360,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x6f0b4d1460bc5c4c4cc0a963275df2a9974bda8fe650f784ce74c4a42070c64e,"[1, 2]",35000000
74990039,0xc5627a8a66340dd2aa4a852b2b13a33ebc12dc18554a824fd20192412db35d3c,413,0xd91e80cf2e7be2e162c6513ced06f1dd0da35296,0x3a3bd7bb9528e159577f7c2e685cc81a765002e2,0x0000000000000000000000000000000000000000000000000000000000000000,0xd28f9dfab98d6b2a8a22d8ff7e8d109678fc8275710be17c96825301efce4a69,"[1, 2]",61000000
74990064,0x3c2e54d53f55c4075ba473a174cb968e41640917862f564286df98042ef2149f,783,0x3d2d66eb933cfa7aa7b9fc21e6614f080de99360,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x54eea1eca602d7e38833156b0487419567ae205910a0371708f414f846c5984e,"[2, 1]",4166664
74990073,0x31f557bfdb7ffcc0138db1fe07d6b21e255d9908ba5c753d59fc44a29ec2accf,822,0x3d2d66eb933cfa7aa7b9fc21e6614f080de99360,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0xf668b1c8e01f8cc93fa0e7c5ba2e4b1d5e2b30749e5796a3a8b308412a54e3de,"[1, 2]",45450000
74990086,0x427a8248d6e3baa8fafb26892e7d2911a8b08e5c2246b3580edcc2675b2fbbc1,3,0xd91e80cf2e7be2e162c6513ced06f1dd0da35296,0x3a3bd7bb9528e159577f7c2e685cc81a765002e2,0x0000000000000000000000000000000000000000000000000000000000000000,0x5ba4e44de7bb7c3ba55f8f4435ff08e27efa0d041612fa32cf3af1a0927a7aaf,"[1, 2]",40290000
74990086,0x369bb04b325373b2e06647a5aeaba182a0b3d29da00a852121d1fcbeea307435,509,0xd91e80cf2e7be2e162c6513ced06f1dd0da35296,0x3a3bd7bb9528e159577f7c2e685cc81a765002e2,0x0000000000000000000000000000000000000000000000000000000000000000,0x3e70b4e3bb485930443c3b32a6a596cfd43e00f581551c1b7626901f48291dda,"[1, 2]",131930000
74990103,0xfb157b9e3847a9a5f94f722cbf7ce011c5eb53c55d9a201e15a9c419a079495a,417,0xd91e80cf2e7be2e162c6513ced06f1dd0da35296,0x3a3bd7bb9528e159577f7c2e685cc81a765002e2,0x0000000000000000000000000000000000000000000000000000000000000000,0x0bf32236c4a05b509969cd0d2e3b1b8fd979fd49d22ba1ee45219e76d1bcff6b,"[1, 2]",2220000
74990114,0x443cba6f2262746cb1f3d98b9bccf60d8ff45cbe436509964fa85bd10cda12a7,829,0x3d2d66eb933cfa7aa7b9fc21e6614f080de99360,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x54eea1eca602d7e38833156b0487419567ae205910a0371708f414f846c5984e,"[2, 1]",5671639
74990118,0xeea5730933b32d1bd43bea304db0064da6c37241154781b9902391e4867bd3fe,274,0xd91e80cf2e7be2e162c6513ced06f1dd0da35296,0x3a3bd7bb9528e159577f7c2e685cc81a765002e2,0x0000000000000000000000000000000000000000000000000000000000000000,0xd6502692a603a0d2ed9688cc3fb0c6bbc08a7b9109114dbb017353ff06d7fe0c,"[1, 2]",31000000
