block_number,tx_hash,log_index,exchange,token0,token1,conditionId
74990354,0xa10a1cbc6a86ca214982e909b3e802d3538a8c3db87811e664c9c969dc12b7ba,5,CTFExchange,26562248771520500842699569694087330467439165475034877303198888700096110984583,107121922012704150370231057539893034731716572367514038872104624737227832101771,0xecd23cc5edd1adbdd02ff2c3353c3e0753458e14c27311afab2bd37d2049564a
74990354,0xa10a1cbc6a86ca214982e909b3e802d3538a8c3db87811e664c9c969dc12b7ba,6,CTFExchange,107121922012704150370231057539893034731716572367514038872104624737227832101771,26562248771520500842699569694087330467439165475034877303198888700096110984583,0xecd23cc5edd1adbdd02ff2c3353c3e0753458e14c27311afab2bd37d2049564a
74990411,0x9b60b34a92d9d5934cc04022ea090594de4a5aa1ce43c80a21dfb7edf9984206,4,CTFExchange,20886556466983881047274210061340204563087237613487343977434715256779385190212,76533436191351862785269885581934293882721696574153111149754524991162779450298,0xb904b61468e2f7e704c34a58067838e82d9ab20090ff637ee76d30bf2a7ccd73
74990411,0x9b60b34a92d9d5934cc04022ea090594de4a5aa1ce43c80a21dfb7edf9984206,5,CTFExchange,76533436191351862785269885581934293882721696574153111149754524991162779450298,20886556466983881047274210061340204563087237613487343977434715256779385190212,0xb904b61468e2f7e704c34a58067838e82d9ab20090ff637ee76d30bf2a7ccd73
74990467,0xfccc18645e153f4bc00605a3cc65e7997101533be11e4344fd844399a2b00029,3,CTFExchange,41481875160956181165799278008837091699447485544639234684386069538612774060131,98359178944143928746787159890682068456097291377195412386772983047946188174760,0x07151c3191ad484662497ef1b3efc9fc49f8625203bab6c12aa58eb7763b4dc3
74990467,0xfccc18645e153f4bc00605a3cc65e7997101533be11e4344fd844399a2b00029,4,CTFExchange,98359178944143928746787159890682068456097291377195412386772983047946188174760,41481875160956181165799278008837091699447485544639234684386069538612774060131,0x07151c3191ad484662497ef1b3efc9fc49f8625203bab6c12aa58eb7763b4dc3
74990514,0xc914e358a776f98cd86943e77b56dabf358702e0b97099a800472c29d3643c2d,3,CTFExchange,89442391459183490456099609557722263102365287156361596786085072982077388945520,40185548735657446592710014766708712764294562258321306662938927881621442169326,0x8fc56b84eb07a509075a2695962cfc6ab941122b4a519ffc1de4d0fee604ce76
74990514,0xc914e358a776f98cd86943e77b56dabf358702e0b97099a800472c29d3643c2d,4,CTFExchange,40185548735657446592710014766708712764294562258321306662938927881621442169326,89442391459183490456099609557722263102365287156361596786085072982077388945520,0x8fc56b84eb07a509075a2695962cfc6ab941122b4a519ffc1de4d0fee604ce76
74990600,0xc7ab3f422d1b24f1ec2197c8eb213d6c83d0442bafa5edcb0765f2300a17df27,3,CTFExchange,70308546134281939122709501145500999255152477122826395939205091165464185213200,59848532764218403951797878325724963169512226456483450944706911486886840885278,0xde090c227b75afa1436568b3acb22af63f8a6fc206e2b57521360cfff39ad23d
74990600,0xc7ab3f422d1b24f1ec2197c8eb213d6c83d0442bafa5edcb0765f2300a17df27,4,CTFExchange,59848532764218403951797878325724963169512226456483450944706911486886840885278,70308546134281939122709501145500999255152477122826395939205091165464185213200,0xde090c227b75afa1436568b3acb22af63f8a6fc206e2b57521360cfff39ad23d
74990619,0xf56c978a17ecfbe0479f36b7f3f9b79a5eb827f59fa194815210dcc66ad0d11a,0,CTFExchange,4092861872954901021839352023181599056011265942772192295542172751194909037262,27759632453802537295123538114738408324605484665118680962934570980081241534640,0x836717ce111bb7b56fbce042584e566d67cc529dc6b6b0d9b60225b4be90fbca
74990619,0xf56c978a17ecfbe0479f36b7f3f9b79a5eb827f59fa194815210dcc66ad0d11a,1,CTFExchange,27759632453802537295123538114738408324605484665118680962934570980081241534640,4092861872954901021839352023181599056011265942772192295542172751194909037262,0x836717ce111bb7b56fbce042584e566d67cc529dc6b6b0d9b60225b4be90fbca
74990740,0x0b09865e975a9f7a80c70cfc9d3b45311c8d162e92c5175f13ea784a9ee81474,4,CTFExchange,66937916493446712762930348028917409281832038420366642750218690557549708842605,30932043090059594534084703519829032181475916238824371714926647971150911356951,0x95f6e0909f101c3cc4b664a6363b118ee77c302e868f58815493e05bc3cca911
74990740,0x0b09865e975a9f7a80c70cfc9d3b45311c8d162e92c5175f13ea784a9ee81474,5,CTFExchange,30932043090059594534084703519829032181475916238824371714926647971150911356951,66937916493446712762930348028917409281832038420366642750218690557549708842605,0x95f6e0909f101c3cc4b664a6363b118ee77c302e868f58815493e05bc3cca911
74990789,0x306a57144607e94970a4af34001ef78bce81d3acd43a73b33f341b62669019f0,4,CTFExchange,4580724169480782089414212867618939430735567406920582608293744007576637315026,11960171538605375084130442032532659785568196446710018066583981483380460489784,0x0b74c7e76678a1656b14cfe802e602380b07e60d0aab2cb7219a31140a365368
74990789,0x306a57144607e94970a4af34001ef78bce81d3acd43a73b33f341b62669019f0,5,CTFExchange,11960171538605375084130442032532659785568196446710018066583981483380460489784,4580724169480782089414212867618939430735567406920582608293744007576637315026,0x0b74c7e76678a1656b14cfe802e602380b07e60d0aab2cb7219a31140a365368
74991813,0xc9125acb1fec88f43051690e9bf88f87fc0183d62f1779176bf233b2bb4fd485,0,NegRiskCTFExchange,35008216748543338293275046268305468796656684497949243425175278113738792982351,95522142927000968081983307760056083277090342979755680679868462048022113202110,0xb68b02dd6f82cbe612ad6974f8521a661d2ca0533381ec1ef9df9a0fa07206d0
74991813,0xc9125acb1fec88f43051690e9bf88f87fc0183d62f1779176bf233b2bb4fd485,1,NegRiskCTFExchange,95522142927000968081983307760056083277090342979755680679868462048022113202110,35008216748543338293275046268305468796656684497949243425175278113738792982351,0xb68b02dd6f82cbe612ad6974f8521a661d2ca0533381ec1ef9df9a0fa07206d0
74991813,0xfc95ba7da9d110d347700786f750307e56d07c13fafcf4a2a03f1c8c24a0719a,3,NegRiskCTFExchange,30780538346952505347360995370005491158458075706592292057876066434457474081385,66810408211897825820280606650971018482952700218738033022985663531392174870127,0x079178d986e4804419854087ce356e433f85bebeb5502a84fa1021fef55380a8
74991813,0xfc95ba7da9d110d347700786f750307e56d07c13fafcf4a2a03f1c8c24a0719a,4,NegRiskCTFExchange,66810408211897825820280606650971018482952700218738033022985663531392174870127,30780538346952505347360995370005491158458075706592292057876066434457474081385,0x079178d986e4804419854087ce356e433f85bebeb5502a84fa1021fef55380a8
74991814,0x723d9f1fec02dcc077e5851939001150f64c79c0d6dbf7b486fceeefa076ca74,5,NegRiskCTFExchange,96798793393739281897530061829523842827190524649011688100044861507416439549313,102252262212572207516696022412254962157224249821598864228054146263354846026922,0x3e3f9df9d4bdc6940ed3a6effe977cf7bf250ae2bcafc64d88450aa3e6c5f90c
74991814,0x723d9f1fec02dcc077e5851939001150f64c79c0d6dbf7b486fceeefa076ca74,6,NegRiskCTFExchange,102252262212572207516696022412254962157224249821598864228054146263354846026922,96798793393739281897530061829523842827190524649011688100044861507416439549313,0x3e3f9df9d4bdc6940ed3a6effe977cf7bf250ae2bcafc64d88450aa3e6c5f90c
74991816,0xfb4a77c8ca32d5fb2658bc5362ba3d586ba5364302064bfdd526570a456384f9,31,NegRiskCTFExchange,97356000730711601542253348297392661106640176976668539326550785254704616273924,47235145550636945414207501460290650753311465526406656054244776307417924317997,0x33f50c90d5481f7b69c4dea6c892efa7d992705b87eed0c53bbdfb44ec4e18cf
74991816,0xfb4a77c8ca32d5fb2658bc5362ba3d586ba5364302064bfdd526570a456384f9,32,NegRiskCTFExchange,47235145550636945414207501460290650753311465526406656054244776307417924317997,97356000730711601542253348297392661106640176976668539326550785254704616273924,0x33f50c90d5481f7b69c4dea6c892efa7d992705b87eed0c53bbdfb44ec4e18cf
74991820,0x520c4914a3be831448f21bacb19c7c7da67f45c45581174acc2cdec6a8f9dbe7,7,NegRiskCTFExchange,106138318477260626390317638059296509643419156743264718053190864284288199044534,27131408701838757891556136614868847883549376992927389604069748455566895829115,0x2db21919e9b5111f179b231663a885534e23fdceaaecf87bd79cbef56ec90733
74991820,0x520c4914a3be831448f21bacb19c7c7da67f45c45581174acc2cdec6a8f9dbe7,8,NegRiskCTFExchange,27131408701838757891556136614868847883549376992927389604069748455566895829115,106138318477260626390317638059296509643419156743264718053190864284288199044534,0x2db21919e9b5111f179b231663a885534e23fdceaaecf87bd79cbef56ec90733
74991901,0x98d0d221d7f0180007de797f78e416b518437fd65a45ce064fdb1ce7f51a4039,3,NegRiskCTFExchange,19952199422817794470613501996134157102154282016742647419953973040831754456694,76338345464415095466640788425989149425110240324773681577688294731900110442514,0xaa1c12fc6e16999d6140d2c4644e9373a333223bad267e40af91424692056da0
74991901,0x98d0d221d7f0180007de797f78e416b518437fd65a45ce064fdb1ce7f51a4039,4,NegRiskCTFExchange,76338345464415095466640788425989149425110240324773681577688294731900110442514,19952199422817794470613501996134157102154282016742647419953973040831754456694,0xaa1c12fc6e16999d6140d2c4644e9373a333223bad267e40af91424692056da0
74991901,0x29902902c74a4e1e6a9cc3f2bf2b01f8b7a459d4e5f5b972910e6d8cfba96f0d,6,NegRiskCTFExchange,78800261347409336297145972870303474553241375988770555349840462367587911088741,1369405940937235142781866872656435351172048574257027917281013631671416640003,0x8269a448c49ff6bf93357584772195fb3b4a7ba60a6b4100563da152bf6bfb09
74991901,0x29902902c74a4e1e6a9cc3f2bf2b01f8b7a459d4e5f5b972910e6d8cfba96f0d,7,NegRiskCTFExchange,1369405940937235142781866872656435351172048574257027917281013631671416640003,78800261347409336297145972870303474553241375988770555349840462367587911088741,0x8269a448c49ff6bf93357584772195fb3b4a7ba60a6b4100563da152bf6bfb09
74991901,0xe4b675c4ff718488425ed1d08e6c4f2d14ecbad6cc409d59c1e171dceeb4e684,9,NegRiskCTFExchange,62053494869212841752860012248891705392302468805781878116393393804890381204723,1893131184717784375436592448852390233473677261489121960978802928351219432656,0x4bde32a644502f2469d54572750e47eb2ea04defa1165546de351d6035f477e0
74991901,0xe4b675c4ff718488425ed1d08e6c4f2d14ecbad6cc409d59c1e171dceeb4e684,10,NegRiskCTFExchange,1893131184717784375436592448852390233473677261489121960978802928351219432656,62053494869212841752860012248891705392302468805781878116393393804890381204723,0x4bde32a644502f2469d54572750e47eb2ea04defa1165546de351d6035f477e0
74991903,0x64b472d056fd1d4e634b819eefea526ce98426f9dacfecc3f2c57b46a20697f1,2,NegRiskCTFExchange,63867737527947095903363415411276098981339297666448530045593316109713824526493,41758924696895837767437039876768422796829126285682905943449223477074945592095,0xcb894f6ce101fb35679607913513899bc8ed2d332bb8f889dc8296d177e7be8c
74991903,0x64b472d056fd1d4e634b819eefea526ce98426f9dacfecc3f2c57b46a20697f1,3,NegRiskCTFExchange,41758924696895837767437039876768422796829126285682905943449223477074945592095,63867737527947095903363415411276098981339297666448530045593316109713824526493,0xcb894f6ce101fb35679607913513899bc8ed2d332bb8f889dc8296d177e7be8c
74991907,0x703a85d1213109ed7a6425f7aea763bcdcd434d274b855b1818b09f7888f8c22,2,NegRiskCTFExchange,87514170495122938914015360607982122935677383954888694658957613150527796765917,34475426357729924336135074185940233704743191377911789255033125252142002320050,0xb5f88a8d321d9e4e92a8e89b24544bbcb7e7d87b7ba5f8c88d217020758ecfc6
74991907,0x703a85d1213109ed7a6425f7aea763bcdcd434d274b855b1818b09f7888f8c22,3,NegRiskCTFExchange,34475426357729924336135074185940233704743191377911789255033125252142002320050,87514170495122938914015360607982122935677383954888694658957613150527796765917,0xb5f88a8d321d9e4e92a8e89b24544bbcb7e7d87b7ba5f8c88d217020758ecfc6
