block_number,tx_hash,log_index,operator,from,to,ids,values
74999000,0x2540a44237b79fdfb63947f91cdc197b3e18104abb0365235b1af02db11d68d3,341,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x0000000000000000000000000000000000000000,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,"[113978805798102557265452348965535499887600425153284104746797977930434676866992, 45268984206528684008656138445174696487413496817965370072225934538822928904287]","[90000000, 90000000]"
74999001,0xeedc542fa7c2a8b95d83663f953fcee1ac11dda5e34e831c8c22f7492f3aa3d3,444,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x0000000000000000000000000000000000000000,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,"[110231926589098351804293174455681788984678095258631881563984268486591441074567, 7997695352317515524525062962990406756331391485123047293096327700752767906309]","[740000, 740000]"
74999001,0xeedc542fa7c2a8b95d83663f953fcee1ac11dda5e34e831c8c22f7492f3aa3d3,458,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x0000000000000000000000000000000000000000,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,"[110231926589098351804293174455681788984678095258631881563984268486591441074567, 7997695352317515524525062962990406756331391485123047293096327700752767906309]","[17926604, 17926604]"
74999001,0x16352de4b7b1074942bc88c916b4250d0e92df43b9ba049454a2f9f8ac046851,481,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x0000000000000000000000000000000000000000,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,"[46779277213599126230120558346857483305790254031083044485517146560119899542406, 62055740682863142512173337338290591221935166579033473435319717410248279647733]","[71510000, 71510000]"
74999001,0x16352de4b7b1074942bc88c916b4250d0e92df43b9ba049454a2f9f8ac046851,489,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x0000000000000000000000000000000000000000,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,"[46779277213599126230120558346857483305790254031083044485517146560119899542406, 62055740682863142512173337338290591221935166579033473435319717410248279647733]","[5000000, 5000000]"
74999001,0x16352de4b7b1074942bc88c916b4250d0e92df43b9ba049454a2f9f8ac046851,497,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x0000000000000000000000000000000000000000,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,"[46779277213599126230120558346857483305790254031083044485517146560119899542406, 62055740682863142512173337338290591221935166579033473435319717410248279647733]","[23490000, 23490000]"
74999001,0x1dd7a43aac92bcbb97153a499c760f216a0ecf3970d26ed3fe8b1be3d8a53bbf,511,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x0000000000000000000000000000000000000000,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,"[46779277213599126230120558346857483305790254031083044485517146560119899542406, 62055740682863142512173337338290591221935166579033473435319717410248279647733]","[29393900, 29393900]"
74999001,0x253b36145137cd3c4343cbd85207362135a17cbab13eed2841aef1036410012f,525,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x0000000000000000000000000000000000000000,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,"[28904563994230344358126139632761289592940428766951866808651602602082941677787, 60652137523181125168482146963718096562535021607381944009168391719481583056075]","[10000000, 10000000]"
74999002,0x3fcf7537bdd1d89199ec92cd83e99e422a7944d5ea7e5d0e93f960a13a6f72d3,335,0xd91e80cf2e7be2e162c6513ced06f1dd0da35296,0x843a6da3886cf889435cf0920659a00a68db8070,0xd91e80cf2e7be2e162c6513ced06f1dd0da35296,"[20687552179259492015264396642668768958132112743605647653821858729131283300433, 112366758121468199816335075341769488016411976085810291047672574777931003289565]","[500000000, 500000000]"
74999002,0x3fcf7537bdd1d89199ec92cd83e99e422a7944d5ea7e5d0e93f960a13a6f72d3,336,0xd91e80cf2e7be2e162c6513ced06f1dd0da35296,0xd91e80cf2e7be2e162c6513ced06f1dd0da35296,0x0000000000000000000000000000000000000000,"[20687552179259492015264396642668768958132112743605647653821858729131283300433, 112366758121468199816335075341769488016411976085810291047672574777931003289565]","[500000000, 500000000]"
74999002,0xed03f3b6cb8aa69a587e0a5644fede927383c50dd596699cbe6a9cecb76d7fd3,367,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x0000000000000000000000000000000000000000,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,"[28904563994230344358126139632761289592940428766951866808651602602082941677787, 60652137523181125168482146963718096562535021607381944009168391719481583056075]","[30000000, 30000000]"
74999002,0xed03f3b6cb8aa69a587e0a5644fede927383c50dd596699cbe6a9cecb76d7fd3,375,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x0000000000000000000000000000000000000000,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,"[28904563994230344358126139632761289592940428766951866808651602602082941677787, 60652137523181125168482146963718096562535021607381944009168391719481583056075]","[40000000, 40000000]"
74999002,0xed03f3b6cb8aa69a587e0a5644fede927383c50dd596699cbe6a9cecb76d7fd3,383,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x0000000000000000000000000000000000000000,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,"[28904563994230344358126139632761289592940428766951866808651602602082941677787, 60652137523181125168482146963718096562535021607381944009168391719481583056075]","[31129031, 31129031]"
74999002,0x4a479a9bda30c0c0decf8497e1e1f2f97a6e10e47b2fc8950c85ebf6c89770d0,397,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x0000000000000000000000000000000000000000,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,"[64023853276447473910717802897235893846036426549936106277274450441829027818528, 72213402545998769711123636766651921655153165755936317649722665600548281920234]","[40000000, 40000000]"
74999002,0x7460b7e7c98813147778b0e758f049d08458c210db0b3ef312a37882d22b5f4b,411,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x0000000000000000000000000000000000000000,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,"[64023853276447473910717802897235893846036426549936106277274450441829027818528, 72213402545998769711123636766651921655153165755936317649722665600548281920234]","[40000000, 40000000]"
74999002,0x2491dc38435ebbee7d25f40d9abe17e18f7d1a3f7d898662b8b6d840127daf2d,427,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x0000000000000000000000000000000000000000,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,"[64023853276447473910717802897235893846036426549936106277274450441829027818528, 72213402545998769711123636766651921655153165755936317649722665600548281920234]","[21000000, 21000000]"
74999003,0x4c695151a6fa53dd102985c605c281e5651816917dbbaadbf0e8a39ef95545d3,581,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x0000000000000000000000000000000000000000,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,"[46779277213599126230120558346857483305790254031083044485517146560119899542406, 62055740682863142512173337338290591221935166579033473435319717410248279647733]","[100000000, 100000000]"
74999003,0x7af40ef0f622f02bf03bd87a7c29f168e27ff08b5a18483b72e809f76c9b61f5,602,0xd91e80cf2e7be2e162c6513ced06f1dd0da35296,0x0000000000000000000000000000000000000000,0xd91e80cf2e7be2e162c6513ced06f1dd0da35296,"[114782698380270958112349005094611087245411306370416719820743645773045138677449, 66765075128482080579166370085700727833286767849899205409874281537034090191056]","[163450000, 163450000]"
74999003,0x7af40ef0f622f02bf03bd87a7c29f168e27ff08b5a18483b72e809f76c9b61f5,604,0xd91e80cf2e7be2e162c6513ced06f1dd0da35296,0xd91e80cf2e7be2e162c6513ced06f1dd0da35296,0xc5d563a36ae78145c45a50134d48a1215220f80a,"[114782698380270958112349005094611087245411306370416719820743645773045138677449, 66765075128482080579166370085700727833286767849899205409874281537034090191056]","[163450000, 163450000]"
74999004,0x03c3aeb4133d0e9956e4a7f7ce4dd34c3eb14ef9ad21ecf3f10221b157b22cac,322,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x0000000000000000000000000000000000000000,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,"[28904563994230344358126139632761289592940428766951866808651602602082941677787, 60652137523181125168482146963718096562535021607381944009168391719481583056075]","[2564101, 2564101]"
74999004,0xa61500fa4b8ae713bb8f29e878217b8b09a03c43da24f5a0155306202b485e84,336,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x0000000000000000000000000000000000000000,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,"[65086664752134264605265206667740603827563343152997633194154701496265178337126, 55594117272889745791959588088505782804797731169570751034019661231003579445948]","[50000000, 50000000]"
74999004,0xf85d1c300a4526a3b8c1533505e112924eec83b2c3d291a86bd4fd892fd87786,350,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x0000000000000000000000000000000000000000,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,"[81454857558440023087487316541632570910318265249612159445040403478645150083459, 4712779042536426544858585386467058196753736280535354684359434126127619999816]","[49000000, 49000000]"
74999005,0x4b8e2021b0b04609aee4fd7440d0b2cb8d37006b44cbb53e33ddf10d68aabfe2,497,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x0000000000000000000000000000000000000000,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,"[46779277213599126230120558346857483305790254031083044485517146560119899542406, 62055740682863142512173337338290591221935166579033473435319717410248279647733]","[100000000, 100000000]"
74999006,0x1e9d4bbae81b484f1213238b0997c23050aca6181f588f6b4fd2c55e929f5a6a,374,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x0000000000000000000000000000000000000000,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,"[46779277213599126230120558346857483305790254031083044485517146560119899542406, 62055740682863142512173337338290591221935166579033473435319717410248279647733]","[5050500, 5050500]"
